Namespace(batchSize=128, epoch=25, lr=0.1, method='momsgd', modelIn=None, modelOut='noise0.3_I.pth', ngpu=1, noise=0.3)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 43.69293713569641, Train loss: 0.018557344193458558, Train accuracy: 0.10484, Test loss: 0.018623730182647704, Test accuracy: 0.1
[Epoch 1] Time: 84.41460704803467, Train loss: 0.018471934385299683, Train accuracy: 0.10896, Test loss: 0.018625058364868163, Test accuracy: 0.1049
[Epoch 2] Time: 125.25286149978638, Train loss: 0.01720556674003601, Train accuracy: 0.16776, Test loss: 0.017340119171142577, Test accuracy: 0.167
[Epoch 3] Time: 166.19245886802673, Train loss: 0.015498385770320892, Train accuracy: 0.22812, Test loss: 0.015542239272594452, Test accuracy: 0.2366
[Epoch 4] Time: 207.19746351242065, Train loss: 0.014092108743190765, Train accuracy: 0.28994, Test loss: 0.014295824313163757, Test accuracy: 0.282
[Epoch 5] Time: 248.1689007282257, Train loss: 0.01306614247083664, Train accuracy: 0.34618, Test loss: 0.013563167428970338, Test accuracy: 0.3391
[Epoch 6] Time: 289.1575012207031, Train loss: 0.01244227517604828, Train accuracy: 0.4003, Test loss: 0.013141862869262695, Test accuracy: 0.3891
[Epoch 7] Time: 330.1681206226349, Train loss: 0.011256987223625184, Train accuracy: 0.47334, Test loss: 0.011450471651554108, Test accuracy: 0.4721
[Epoch 8] Time: 371.13273882865906, Train loss: 0.010225091392993928, Train accuracy: 0.52482, Test loss: 0.01110917046070099, Test accuracy: 0.5068
[Epoch 9] Time: 412.13617277145386, Train loss: 0.009364734318256377, Train accuracy: 0.5699, Test loss: 0.010098143708705902, Test accuracy: 0.5505
[Epoch 10] Time: 453.12429022789, Train loss: 0.00838306523680687, Train accuracy: 0.62224, Test loss: 0.009658251988887787, Test accuracy: 0.5861
[Epoch 11] Time: 494.0951211452484, Train loss: 0.00779060262799263, Train accuracy: 0.65746, Test loss: 0.008777417886257171, Test accuracy: 0.6312
[Epoch 12] Time: 535.0809514522552, Train loss: 0.007356966414451599, Train accuracy: 0.67628, Test loss: 0.008161974447965622, Test accuracy: 0.6519
[Epoch 13] Time: 576.077915430069, Train loss: 0.006983002234697342, Train accuracy: 0.693, Test loss: 0.0076681147336959835, Test accuracy: 0.6689
[Epoch 14] Time: 617.1087474822998, Train loss: 0.006389034831523895, Train accuracy: 0.7251, Test loss: 0.007734470403194428, Test accuracy: 0.6767
[Epoch 15] Time: 658.0997653007507, Train loss: 0.0063338248354196545, Train accuracy: 0.73558, Test loss: 0.007396242153644561, Test accuracy: 0.7005
[Epoch 16] Time: 699.0946245193481, Train loss: 0.0058065978920459746, Train accuracy: 0.75532, Test loss: 0.006547751867771148, Test accuracy: 0.7295
[Epoch 17] Time: 740.0947308540344, Train loss: 0.0057242325031757356, Train accuracy: 0.76006, Test loss: 0.006174614310264588, Test accuracy: 0.7446
[Epoch 18] Time: 781.1245503425598, Train loss: 0.005553166051506996, Train accuracy: 0.77148, Test loss: 0.006516674429178238, Test accuracy: 0.7403
[Epoch 19] Time: 822.1087250709534, Train loss: 0.0057790300124883655, Train accuracy: 0.76402, Test loss: 0.006740991622209549, Test accuracy: 0.7345
[Epoch 20] Time: 863.1363060474396, Train loss: 0.005489707363843918, Train accuracy: 0.77446, Test loss: 0.006846939611434936, Test accuracy: 0.7313
[Epoch 21] Time: 904.132563829422, Train loss: 0.005472678687572479, Train accuracy: 0.7771, Test loss: 0.00638573944568634, Test accuracy: 0.7444
[Epoch 22] Time: 945.1305923461914, Train loss: 0.005462609813809395, Train accuracy: 0.77748, Test loss: 0.006514357486367225, Test accuracy: 0.7376
[Epoch 23] Time: 986.132705450058, Train loss: 0.005076004187464714, Train accuracy: 0.79138, Test loss: 0.005962551629543305, Test accuracy: 0.7527
[Epoch 24] Time: 1027.148146867752, Train loss: 0.005099131055474281, Train accuracy: 0.78846, Test loss: 0.006356681627035141, Test accuracy: 0.7445
