Namespace(batchSize=128, epoch=25, lr=0.05, method='momsgd', modelIn='noise0.3_I.pth', modelOut='noise0.3_II.pth', ngpu=1, noise=0.3)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 44.357595682144165, Train loss: 0.0039746297770738605, Train accuracy: 0.83482, Test loss: 0.005087624001502991, Test accuracy: 0.7942
[Epoch 1] Time: 85.53224992752075, Train loss: 0.003973542242050171, Train accuracy: 0.83246, Test loss: 0.004966556060314179, Test accuracy: 0.8065
[Epoch 2] Time: 126.82503080368042, Train loss: 0.004024287840723992, Train accuracy: 0.83528, Test loss: 0.005125751715898514, Test accuracy: 0.791
[Epoch 3] Time: 168.13708305358887, Train loss: 0.004001439027786255, Train accuracy: 0.8343, Test loss: 0.005212518110871315, Test accuracy: 0.7954
[Epoch 4] Time: 209.45199990272522, Train loss: 0.004011076759696007, Train accuracy: 0.83416, Test loss: 0.005193027117848396, Test accuracy: 0.7946
[Epoch 5] Time: 250.8051724433899, Train loss: 0.0038246765714883804, Train accuracy: 0.84212, Test loss: 0.005012481781840324, Test accuracy: 0.7962
[Epoch 6] Time: 292.1708195209503, Train loss: 0.0038219900315999986, Train accuracy: 0.84632, Test loss: 0.004799307602643967, Test accuracy: 0.8128
[Epoch 7] Time: 333.53906440734863, Train loss: 0.003827688576579094, Train accuracy: 0.84094, Test loss: 0.004764024594426155, Test accuracy: 0.8055
[Epoch 8] Time: 374.8980481624603, Train loss: 0.0038821228164434432, Train accuracy: 0.84056, Test loss: 0.005070411831140518, Test accuracy: 0.8045
[Epoch 9] Time: 416.2162129878998, Train loss: 0.0036963040989637375, Train accuracy: 0.85042, Test loss: 0.005020486813783646, Test accuracy: 0.8028
[Epoch 10] Time: 457.5392310619354, Train loss: 0.0038269945830106734, Train accuracy: 0.84628, Test loss: 0.005155071824789048, Test accuracy: 0.8009
[Epoch 11] Time: 498.89888215065, Train loss: 0.0036507409152388573, Train accuracy: 0.85004, Test loss: 0.005092630404233933, Test accuracy: 0.7938
[Epoch 12] Time: 540.2352104187012, Train loss: 0.0038365383848547934, Train accuracy: 0.84184, Test loss: 0.005217833057045936, Test accuracy: 0.7964
[Epoch 13] Time: 581.5970199108124, Train loss: 0.0037976535564661026, Train accuracy: 0.84034, Test loss: 0.0047850287437438965, Test accuracy: 0.8022
[Epoch 14] Time: 622.9461269378662, Train loss: 0.003594519549906254, Train accuracy: 0.85502, Test loss: 0.004780268532037735, Test accuracy: 0.8119
[Epoch 15] Time: 664.28377866745, Train loss: 0.003882642362713814, Train accuracy: 0.84116, Test loss: 0.005151894834637642, Test accuracy: 0.803
[Epoch 16] Time: 705.6270527839661, Train loss: 0.003633920587897301, Train accuracy: 0.85188, Test loss: 0.0045444010853767395, Test accuracy: 0.8142
[Epoch 17] Time: 747.0097336769104, Train loss: 0.0035649175995588304, Train accuracy: 0.85312, Test loss: 0.004914893725514412, Test accuracy: 0.803
[Epoch 18] Time: 788.373161315918, Train loss: 0.0034998880115151404, Train accuracy: 0.85748, Test loss: 0.004738290011882782, Test accuracy: 0.8142
[Epoch 19] Time: 829.7420966625214, Train loss: 0.003260907769203186, Train accuracy: 0.86446, Test loss: 0.004308291956782341, Test accuracy: 0.8259
[Epoch 20] Time: 871.1322910785675, Train loss: 0.003315356679856777, Train accuracy: 0.86546, Test loss: 0.004861890888214111, Test accuracy: 0.8077
[Epoch 21] Time: 912.5179336071014, Train loss: 0.0036843675872683525, Train accuracy: 0.85, Test loss: 0.005131483787298202, Test accuracy: 0.8017
[Epoch 22] Time: 953.8634011745453, Train loss: 0.003377750200033188, Train accuracy: 0.86192, Test loss: 0.004494781371951103, Test accuracy: 0.8186
[Epoch 23] Time: 995.2612884044647, Train loss: 0.0034415325289964675, Train accuracy: 0.8566, Test loss: 0.004659508064389229, Test accuracy: 0.8173
[Epoch 24] Time: 1036.6163408756256, Train loss: 0.003379693076014519, Train accuracy: 0.86296, Test loss: 0.004766980212926865, Test accuracy: 0.8135
