Namespace(batchSize=128, epoch=25, lr=0.00625, method='momsgd', modelIn='noise0.5_IV.pth', modelOut='noise0.5_V.pth', ngpu=1, noise=0.5)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 43.87881350517273, Train loss: 0.0021038533371686937, Train accuracy: 0.9172, Test loss: 0.0037769918918609618, Test accuracy: 0.8547
[Epoch 1] Time: 84.6270911693573, Train loss: 0.0020662257696688175, Train accuracy: 0.91578, Test loss: 0.0036464638769626617, Test accuracy: 0.8588
[Epoch 2] Time: 125.75842595100403, Train loss: 0.002074331161528826, Train accuracy: 0.91606, Test loss: 0.0038027337431907654, Test accuracy: 0.8577
[Epoch 3] Time: 167.0296986103058, Train loss: 0.0020378440292179584, Train accuracy: 0.91964, Test loss: 0.003713086658716202, Test accuracy: 0.8587
[Epoch 4] Time: 208.37624263763428, Train loss: 0.00207932261839509, Train accuracy: 0.915, Test loss: 0.003776531833410263, Test accuracy: 0.8593
[Epoch 5] Time: 249.83945608139038, Train loss: 0.002098126551359892, Train accuracy: 0.91586, Test loss: 0.0039529119223356245, Test accuracy: 0.8597
[Epoch 6] Time: 291.3151092529297, Train loss: 0.0020686698727309704, Train accuracy: 0.9193, Test loss: 0.0036280334949493408, Test accuracy: 0.8631
[Epoch 7] Time: 332.9359726905823, Train loss: 0.002095425828397274, Train accuracy: 0.91502, Test loss: 0.0038665279984474183, Test accuracy: 0.8573
[Epoch 8] Time: 374.6085584163666, Train loss: 0.002071918186545372, Train accuracy: 0.91442, Test loss: 0.003907827118039131, Test accuracy: 0.8538
[Epoch 9] Time: 416.279682636261, Train loss: 0.002036331745237112, Train accuracy: 0.92018, Test loss: 0.0038514407575130465, Test accuracy: 0.8559
[Epoch 10] Time: 457.9714813232422, Train loss: 0.002009234989732504, Train accuracy: 0.92102, Test loss: 0.0036931166768074037, Test accuracy: 0.8596
[Epoch 11] Time: 499.5064251422882, Train loss: 0.0021252938893437387, Train accuracy: 0.9144, Test loss: 0.003838388815522194, Test accuracy: 0.8587
[Epoch 12] Time: 541.0516817569733, Train loss: 0.002057215501666069, Train accuracy: 0.91578, Test loss: 0.0038496876165270803, Test accuracy: 0.858
[Epoch 13] Time: 582.7024118900299, Train loss: 0.0020304903341829775, Train accuracy: 0.918, Test loss: 0.0037894290059804917, Test accuracy: 0.8605
[Epoch 14] Time: 624.3889904022217, Train loss: 0.002104728847146034, Train accuracy: 0.9157, Test loss: 0.003919116802513599, Test accuracy: 0.8545
[Epoch 15] Time: 666.0653812885284, Train loss: 0.0020563303801417352, Train accuracy: 0.91676, Test loss: 0.0038433763563632964, Test accuracy: 0.8539
[Epoch 16] Time: 707.5794866085052, Train loss: 0.0020037352484464643, Train accuracy: 0.91658, Test loss: 0.0037371665865182876, Test accuracy: 0.8571
[Epoch 17] Time: 749.3008306026459, Train loss: 0.0020069003328680992, Train accuracy: 0.9184, Test loss: 0.0038138043463230133, Test accuracy: 0.8585
[Epoch 18] Time: 790.9618570804596, Train loss: 0.002007194152325392, Train accuracy: 0.91776, Test loss: 0.0039629137918353085, Test accuracy: 0.8503
[Epoch 19] Time: 832.7700433731079, Train loss: 0.0020985373951494693, Train accuracy: 0.91548, Test loss: 0.0040978424012660985, Test accuracy: 0.8508
[Epoch 20] Time: 874.3171274662018, Train loss: 0.002043330784738064, Train accuracy: 0.91686, Test loss: 0.003797771756350994, Test accuracy: 0.8542
[Epoch 21] Time: 916.1186516284943, Train loss: 0.00199079773709178, Train accuracy: 0.91822, Test loss: 0.0038115651726722717, Test accuracy: 0.8566
[Epoch 22] Time: 957.7162501811981, Train loss: 0.001996578389555216, Train accuracy: 0.92058, Test loss: 0.003851409050822258, Test accuracy: 0.8605
[Epoch 23] Time: 999.196102142334, Train loss: 0.0020034478944540024, Train accuracy: 0.91974, Test loss: 0.003919589892029762, Test accuracy: 0.8574
[Epoch 24] Time: 1040.7529680728912, Train loss: 0.0020116828276216985, Train accuracy: 0.91714, Test loss: 0.0039127517700195315, Test accuracy: 0.8532
