Namespace(batchSize=128, epoch=150, lr=0.1, method='momsgd', modelIn=None, modelOut='./resnetxt/noise_0.2.pth', ngpu=1, noise=0.2)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 124.35418224334717, Train loss: 0.017738529763221742, Train accuracy: 0.1247, Test loss: 0.017919022798538208, Test accuracy: 0.1233
[Epoch 1] Time: 224.02411937713623, Train loss: 0.016006274104118347, Train accuracy: 0.1817, Test loss: 0.01619335833787918, Test accuracy: 0.1783
[Epoch 2] Time: 324.07341957092285, Train loss: 0.015102226831912995, Train accuracy: 0.25424, Test loss: 0.01534432200193405, Test accuracy: 0.2545
[Epoch 3] Time: 423.6594486236572, Train loss: 0.013864809653759002, Train accuracy: 0.3033, Test loss: 0.014539073264598846, Test accuracy: 0.285
[Epoch 4] Time: 523.8418827056885, Train loss: 0.012859861130714417, Train accuracy: 0.36114, Test loss: 0.01383492511510849, Test accuracy: 0.3325
[Epoch 5] Time: 623.8916637897491, Train loss: 0.01216925065279007, Train accuracy: 0.4036, Test loss: 0.01312220642566681, Test accuracy: 0.369
[Epoch 6] Time: 723.9570910930634, Train loss: 0.011480563514232635, Train accuracy: 0.44732, Test loss: 0.012693742084503174, Test accuracy: 0.4093
[Epoch 7] Time: 824.114963054657, Train loss: 0.010626217234134674, Train accuracy: 0.49702, Test loss: 0.011905559527873992, Test accuracy: 0.4466
[Epoch 8] Time: 924.3200917243958, Train loss: 0.009789995391368865, Train accuracy: 0.54552, Test loss: 0.010867663431167603, Test accuracy: 0.5014
[Epoch 9] Time: 1024.446727514267, Train loss: 0.009351693441867828, Train accuracy: 0.56414, Test loss: 0.010439603745937347, Test accuracy: 0.5186
[Epoch 10] Time: 1124.4164860248566, Train loss: 0.009058168226480484, Train accuracy: 0.5818, Test loss: 0.01069060652256012, Test accuracy: 0.5218
[Epoch 11] Time: 1224.8000433444977, Train loss: 0.008369275999069213, Train accuracy: 0.61326, Test loss: 0.009504579675197602, Test accuracy: 0.5774
[Epoch 12] Time: 1325.094409942627, Train loss: 0.007966406844854355, Train accuracy: 0.63016, Test loss: 0.009325978368520737, Test accuracy: 0.5833
[Epoch 13] Time: 1425.575255870819, Train loss: 0.007879902646541596, Train accuracy: 0.63604, Test loss: 0.00892411231994629, Test accuracy: 0.5979
[Epoch 14] Time: 1525.575176000595, Train loss: 0.007461107934713364, Train accuracy: 0.65702, Test loss: 0.008417630416154861, Test accuracy: 0.6179
[Epoch 15] Time: 1625.8239903450012, Train loss: 0.007570974105596542, Train accuracy: 0.64782, Test loss: 0.008578904002904892, Test accuracy: 0.6068
[Epoch 16] Time: 1726.3862619400024, Train loss: 0.006922958661317825, Train accuracy: 0.68514, Test loss: 0.008045029383897782, Test accuracy: 0.6364
[Epoch 17] Time: 1826.7252476215363, Train loss: 0.007335715169906616, Train accuracy: 0.66342, Test loss: 0.00856962605714798, Test accuracy: 0.6128
[Epoch 18] Time: 1926.8136970996857, Train loss: 0.0068567691695690155, Train accuracy: 0.69336, Test loss: 0.0077958426237106325, Test accuracy: 0.6572
[Epoch 19] Time: 2027.0078752040863, Train loss: 0.006925243330001831, Train accuracy: 0.68732, Test loss: 0.008147043389081956, Test accuracy: 0.635
[Epoch 20] Time: 2127.3357594013214, Train loss: 0.006540345729589462, Train accuracy: 0.70156, Test loss: 0.00794662526845932, Test accuracy: 0.649
[Epoch 21] Time: 2227.5765092372894, Train loss: 0.006656957484483719, Train accuracy: 0.69818, Test loss: 0.007688998818397522, Test accuracy: 0.6579
[Epoch 22] Time: 2327.6443922519684, Train loss: 0.006534430041909218, Train accuracy: 0.7022, Test loss: 0.00815481538772583, Test accuracy: 0.6395
[Epoch 23] Time: 2427.9435431957245, Train loss: 0.006753053162097931, Train accuracy: 0.6952, Test loss: 0.007792417019605637, Test accuracy: 0.6484
[Epoch 24] Time: 2528.4905245304108, Train loss: 0.006200082204341888, Train accuracy: 0.72216, Test loss: 0.0074464796602725985, Test accuracy: 0.6721
[Epoch 25] Time: 2627.7796635627747, Train loss: 0.0062729455006122585, Train accuracy: 0.71264, Test loss: 0.007714655590057373, Test accuracy: 0.6581
[Epoch 26] Time: 2726.54794216156, Train loss: 0.006547985696792603, Train accuracy: 0.69846, Test loss: 0.007786679494380951, Test accuracy: 0.6503
[Epoch 27] Time: 2825.213801383972, Train loss: 0.006001538091897965, Train accuracy: 0.73162, Test loss: 0.007207704424858094, Test accuracy: 0.6829
[Epoch 28] Time: 2923.7745072841644, Train loss: 0.0060919736528396605, Train accuracy: 0.7281, Test loss: 0.0075117750763893125, Test accuracy: 0.6757
[Epoch 29] Time: 3022.2764189243317, Train loss: 0.005905089679956436, Train accuracy: 0.73262, Test loss: 0.00745367129445076, Test accuracy: 0.6612
