Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./resnetxt/noise_0.pth', ngpu=1, noise=0.0)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 77.42549180984497, Train loss: 0.013919909777641296, Train accuracy: 0.3191, Test loss: 0.014689926898479462, Test accuracy: 0.3043
[Epoch 1] Time: 154.70418238639832, Train loss: 0.012001908934116363, Train accuracy: 0.43122, Test loss: 0.012161062335968018, Test accuracy: 0.4419
[Epoch 2] Time: 232.17862224578857, Train loss: 0.009208651252985001, Train accuracy: 0.57446, Test loss: 0.010719070720672607, Test accuracy: 0.5158
[Epoch 3] Time: 309.71984338760376, Train loss: 0.00792572272658348, Train accuracy: 0.64088, Test loss: 0.009148868495225906, Test accuracy: 0.5978
[Epoch 4] Time: 387.2531065940857, Train loss: 0.00738728608250618, Train accuracy: 0.66174, Test loss: 0.00914193331003189, Test accuracy: 0.5945
[Epoch 5] Time: 464.8395881652832, Train loss: 0.0065307059299945834, Train accuracy: 0.70458, Test loss: 0.008017798572778703, Test accuracy: 0.6522
[Epoch 6] Time: 542.1772525310516, Train loss: 0.005672720266580581, Train accuracy: 0.7434, Test loss: 0.007349346834421158, Test accuracy: 0.6738
[Epoch 7] Time: 619.469390630722, Train loss: 0.005492874721884727, Train accuracy: 0.75408, Test loss: 0.006897583085298538, Test accuracy: 0.7029
[Epoch 8] Time: 696.7566070556641, Train loss: 0.005035085155367851, Train accuracy: 0.7741, Test loss: 0.006789512586593628, Test accuracy: 0.7039
[Epoch 9] Time: 774.0339999198914, Train loss: 0.0051749155002832415, Train accuracy: 0.77118, Test loss: 0.006265083664655686, Test accuracy: 0.7259
[Epoch 10] Time: 851.322539806366, Train loss: 0.004667677463293075, Train accuracy: 0.7916, Test loss: 0.005989278289675713, Test accuracy: 0.731
[Epoch 11] Time: 928.6059772968292, Train loss: 0.004506298720240593, Train accuracy: 0.79834, Test loss: 0.006224036192893982, Test accuracy: 0.7316
[Epoch 12] Time: 1005.8482487201691, Train loss: 0.004229749478101731, Train accuracy: 0.8114, Test loss: 0.005592171186208725, Test accuracy: 0.7599
[Epoch 13] Time: 1083.0779688358307, Train loss: 0.004145206844210624, Train accuracy: 0.8189, Test loss: 0.005700334614515305, Test accuracy: 0.7542
[Epoch 14] Time: 1160.322360754013, Train loss: 0.003741139678955078, Train accuracy: 0.8364, Test loss: 0.005029757231473923, Test accuracy: 0.7834
[Epoch 15] Time: 1270.3265178203583, Train loss: 0.003939618015885353, Train accuracy: 0.825, Test loss: 0.005175589975714684, Test accuracy: 0.7798
[Epoch 16] Time: 1364.2341544628143, Train loss: 0.0034081408017873766, Train accuracy: 0.84924, Test loss: 0.005020257899165153, Test accuracy: 0.7811
[Epoch 17] Time: 1441.62344789505, Train loss: 0.0036645772856473925, Train accuracy: 0.83838, Test loss: 0.005069173508882523, Test accuracy: 0.7824
[Epoch 18] Time: 1518.8784942626953, Train loss: 0.003414575270116329, Train accuracy: 0.85138, Test loss: 0.0050023217052221295, Test accuracy: 0.7815
[Epoch 19] Time: 1596.104665517807, Train loss: 0.003389595215022564, Train accuracy: 0.85028, Test loss: 0.004804837840795517, Test accuracy: 0.7922
[Epoch 20] Time: 1673.295897245407, Train loss: 0.0033402361154556276, Train accuracy: 0.851, Test loss: 0.004845436564087867, Test accuracy: 0.7894
[Epoch 21] Time: 1750.5252091884613, Train loss: 0.003271936981976032, Train accuracy: 0.85532, Test loss: 0.0047549659371376035, Test accuracy: 0.7905
[Epoch 22] Time: 1827.718627691269, Train loss: 0.003292464884519577, Train accuracy: 0.85438, Test loss: 0.004396256943047047, Test accuracy: 0.8095
[Epoch 23] Time: 1904.902378320694, Train loss: 0.0031967838990688323, Train accuracy: 0.8582, Test loss: 0.004793924993276596, Test accuracy: 0.7947
[Epoch 24] Time: 1982.034349679947, Train loss: 0.0032967635178565977, Train accuracy: 0.8547, Test loss: 0.004569370818138123, Test accuracy: 0.8043
[Epoch 25] Time: 2059.205541610718, Train loss: 0.0029961948099732397, Train accuracy: 0.866, Test loss: 0.004515419980883598, Test accuracy: 0.8069
[Epoch 26] Time: 2136.3401362895966, Train loss: 0.002913171875178814, Train accuracy: 0.87332, Test loss: 0.0042569499999284745, Test accuracy: 0.8181
[Epoch 27] Time: 2213.456597805023, Train loss: 0.0030369915187358856, Train accuracy: 0.86464, Test loss: 0.004705378970503807, Test accuracy: 0.7961
[Epoch 28] Time: 2290.5694246292114, Train loss: 0.0029145961505174637, Train accuracy: 0.87138, Test loss: 0.004644173902273178, Test accuracy: 0.8068
[Epoch 29] Time: 2367.6549673080444, Train loss: 0.003011818035244942, Train accuracy: 0.86564, Test loss: 0.004605501875281334, Test accuracy: 0.8001
[Epoch 30] Time: 2444.7326877117157, Train loss: 0.0029547914659976957, Train accuracy: 0.87008, Test loss: 0.004452762845158577, Test accuracy: 0.8114
[Epoch 31] Time: 2521.850496530533, Train loss: 0.0029946133372187613, Train accuracy: 0.86682, Test loss: 0.004320905044674873, Test accuracy: 0.8103
[Epoch 32] Time: 2598.9499316215515, Train loss: 0.0029544357350468637, Train accuracy: 0.86838, Test loss: 0.004542707324028015, Test accuracy: 0.7995
[Epoch 33] Time: 2676.028407096863, Train loss: 0.002923108414709568, Train accuracy: 0.87154, Test loss: 0.0044088882386684415, Test accuracy: 0.8128
[Epoch 34] Time: 2753.0951330661774, Train loss: 0.002839793891608715, Train accuracy: 0.87376, Test loss: 0.0044299625545740125, Test accuracy: 0.8134
[Epoch 35] Time: 2830.1428475379944, Train loss: 0.002970271883010864, Train accuracy: 0.86806, Test loss: 0.004305887451767921, Test accuracy: 0.8143
[Epoch 36] Time: 2907.1712210178375, Train loss: 0.00297452434360981, Train accuracy: 0.869, Test loss: 0.004369456100463867, Test accuracy: 0.8137
[Epoch 37] Time: 2984.1963431835175, Train loss: 0.0027764934849739075, Train accuracy: 0.88106, Test loss: 0.00444363944530487, Test accuracy: 0.8113
[Epoch 38] Time: 3061.2021992206573, Train loss: 0.0026732273545861246, Train accuracy: 0.8861, Test loss: 0.003886613067984581, Test accuracy: 0.8355
[Epoch 39] Time: 3138.261462688446, Train loss: 0.002621490704715252, Train accuracy: 0.88612, Test loss: 0.003929145044088363, Test accuracy: 0.8272
[Epoch 40] Time: 3215.3251674175262, Train loss: 0.0026286932319402696, Train accuracy: 0.88362, Test loss: 0.003913987255096435, Test accuracy: 0.8342
[Epoch 41] Time: 3292.331773519516, Train loss: 0.0027169088664650916, Train accuracy: 0.87988, Test loss: 0.004043244594335556, Test accuracy: 0.8278
[Epoch 42] Time: 3369.3140964508057, Train loss: 0.0028982053545117377, Train accuracy: 0.87086, Test loss: 0.00434937314093113, Test accuracy: 0.8133
[Epoch 43] Time: 3446.2917561531067, Train loss: 0.0028393753480911257, Train accuracy: 0.87564, Test loss: 0.004369970253109932, Test accuracy: 0.8132
[Epoch 44] Time: 3523.2953174114227, Train loss: 0.002746841134428978, Train accuracy: 0.87796, Test loss: 0.004432014366984367, Test accuracy: 0.8079
[Epoch 45] Time: 3600.27560710907, Train loss: 0.0024486041676998137, Train accuracy: 0.89396, Test loss: 0.003844279432296753, Test accuracy: 0.8349
[Epoch 46] Time: 3677.264744758606, Train loss: 0.002486527528166771, Train accuracy: 0.89348, Test loss: 0.004168042179942131, Test accuracy: 0.8204
[Epoch 47] Time: 3754.301837682724, Train loss: 0.0026620123982429504, Train accuracy: 0.8848, Test loss: 0.0041198379009962085, Test accuracy: 0.8216
[Epoch 48] Time: 3831.2818336486816, Train loss: 0.0027092181369662285, Train accuracy: 0.88092, Test loss: 0.004780176627635956, Test accuracy: 0.7892
[Epoch 49] Time: 3908.285505056381, Train loss: 0.0026041396003961565, Train accuracy: 0.88506, Test loss: 0.003997256296873092, Test accuracy: 0.8304
[Epoch 50] Time: 3985.278968334198, Train loss: 0.002559809088408947, Train accuracy: 0.8856, Test loss: 0.0036205680936574934, Test accuracy: 0.8414
[Epoch 51] Time: 4062.2310955524445, Train loss: 0.0026168418902158736, Train accuracy: 0.88446, Test loss: 0.004353257966041565, Test accuracy: 0.8152
[Epoch 52] Time: 4139.219716787338, Train loss: 0.0025415913078188895, Train accuracy: 0.88606, Test loss: 0.0037402623265981676, Test accuracy: 0.8418
[Epoch 53] Time: 4216.19895529747, Train loss: 0.002644793416261673, Train accuracy: 0.88412, Test loss: 0.003992644020915031, Test accuracy: 0.8307
[Epoch 54] Time: 4293.183808326721, Train loss: 0.002487799302637577, Train accuracy: 0.89252, Test loss: 0.003928591445088387, Test accuracy: 0.8347
[Epoch 55] Time: 4370.1765422821045, Train loss: 0.0025869545769691468, Train accuracy: 0.88768, Test loss: 0.004118606460094452, Test accuracy: 0.8268
[Epoch 56] Time: 4447.136678218842, Train loss: 0.0027273858588933945, Train accuracy: 0.88044, Test loss: 0.004157190918922424, Test accuracy: 0.8205
[Epoch 57] Time: 4524.088960170746, Train loss: 0.0025064108204841612, Train accuracy: 0.89046, Test loss: 0.0038148627519607545, Test accuracy: 0.8343
[Epoch 58] Time: 4601.055150270462, Train loss: 0.002496559846699238, Train accuracy: 0.89, Test loss: 0.003993487644195557, Test accuracy: 0.8302
[Epoch 59] Time: 4678.299567461014, Train loss: 0.0025742253851890563, Train accuracy: 0.88832, Test loss: 0.004246346750855446, Test accuracy: 0.8191
[Epoch 60] Time: 4777.601187944412, Train loss: 0.0026711869513988493, Train accuracy: 0.88162, Test loss: 0.004183310416340828, Test accuracy: 0.818
[Epoch 61] Time: 4897.655692815781, Train loss: 0.002489603153467178, Train accuracy: 0.89036, Test loss: 0.003975544318556785, Test accuracy: 0.8288
[Epoch 62] Time: 4982.351599693298, Train loss: 0.0025913514986634256, Train accuracy: 0.88638, Test loss: 0.004435640463232994, Test accuracy: 0.8098
[Epoch 63] Time: 5059.293142318726, Train loss: 0.0024469667688012124, Train accuracy: 0.89178, Test loss: 0.0039306155979633335, Test accuracy: 0.8268
[Epoch 64] Time: 5145.329530239105, Train loss: 0.002275082282423973, Train accuracy: 0.90146, Test loss: 0.004208729588985443, Test accuracy: 0.8202
[Epoch 65] Time: 5222.364753484726, Train loss: 0.0023772793251276014, Train accuracy: 0.89678, Test loss: 0.003915690971910954, Test accuracy: 0.8332
[Epoch 66] Time: 5299.271740913391, Train loss: 0.0023455578222870825, Train accuracy: 0.8957, Test loss: 0.003797424080967903, Test accuracy: 0.8382
[Epoch 67] Time: 5376.174854755402, Train loss: 0.0023918147617578507, Train accuracy: 0.89466, Test loss: 0.003712359848618507, Test accuracy: 0.8412
[Epoch 68] Time: 5453.073388576508, Train loss: 0.0023254120644927026, Train accuracy: 0.89754, Test loss: 0.0036705437064170838, Test accuracy: 0.8444
[Epoch 69] Time: 5530.032574176788, Train loss: 0.0024212868666648865, Train accuracy: 0.89318, Test loss: 0.0037628014773130416, Test accuracy: 0.8373
[Epoch 70] Time: 5606.961444854736, Train loss: 0.0026826404961943625, Train accuracy: 0.8817, Test loss: 0.0041617925494909285, Test accuracy: 0.8274
[Epoch 71] Time: 5683.820787906647, Train loss: 0.002507392727136612, Train accuracy: 0.8905, Test loss: 0.004021469193696976, Test accuracy: 0.8285
[Epoch 72] Time: 5782.68021607399, Train loss: 0.0023958025828003885, Train accuracy: 0.89346, Test loss: 0.003809941112995148, Test accuracy: 0.836
[Epoch 73] Time: 5896.950041055679, Train loss: 0.002207177384197712, Train accuracy: 0.90386, Test loss: 0.003936589029431343, Test accuracy: 0.8281
[Epoch 74] Time: 5973.868616819382, Train loss: 0.002505763495564461, Train accuracy: 0.88946, Test loss: 0.004133835244178772, Test accuracy: 0.8241
[Epoch 75] Time: 6050.742341518402, Train loss: 0.002299512096941471, Train accuracy: 0.9012, Test loss: 0.003708613274991512, Test accuracy: 0.8419
[Epoch 76] Time: 6127.666215896606, Train loss: 0.002397554477751255, Train accuracy: 0.89426, Test loss: 0.003717934907972813, Test accuracy: 0.8383
[Epoch 77] Time: 6204.550787687302, Train loss: 0.00246416073679924, Train accuracy: 0.8896, Test loss: 0.003841459196805954, Test accuracy: 0.8368
[Epoch 78] Time: 6281.378550291061, Train loss: 0.002605984826683998, Train accuracy: 0.8866, Test loss: 0.004130041459202766, Test accuracy: 0.8206
