Namespace(batchSize=128, dataset='cifar10', lr=0.1, method='momsgd', modelOut='./resnext/brelu_0.05.pth', net='resnext', ngpu=1, noiseInit=0.05, root='/home/luinx/data/cifar10-py')
[Epoch=1] Time:142.23, Train: 0.19968, Test: 0.27360, Best: 0.27360
[Epoch=2] Time:282.45, Train: 0.33926, Test: 0.37840, Best: 0.37840
[Epoch=3] Time:422.87, Train: 0.45010, Test: 0.49380, Best: 0.49380
[Epoch=4] Time:563.41, Train: 0.52802, Test: 0.56830, Best: 0.56830
[Epoch=5] Time:703.79, Train: 0.60750, Test: 0.57150, Best: 0.57150
[Epoch=6] Time:844.45, Train: 0.65060, Test: 0.56200, Best: 0.57150
[Epoch=7] Time:984.81, Train: 0.68586, Test: 0.68510, Best: 0.68510
[Epoch=8] Time:1125.34, Train: 0.71656, Test: 0.64450, Best: 0.68510
[Epoch=9] Time:1265.98, Train: 0.73444, Test: 0.69930, Best: 0.69930
[Epoch=10] Time:1406.42, Train: 0.75284, Test: 0.71480, Best: 0.71480
[Epoch=11] Time:1546.87, Train: 0.75950, Test: 0.60770, Best: 0.71480
[Epoch=12] Time:1687.33, Train: 0.76982, Test: 0.73230, Best: 0.73230
[Epoch=13] Time:1827.76, Train: 0.77626, Test: 0.66650, Best: 0.73230
[Epoch=14] Time:1968.29, Train: 0.78202, Test: 0.68030, Best: 0.73230
[Epoch=15] Time:2109.01, Train: 0.78926, Test: 0.69140, Best: 0.73230
[Epoch=16] Time:2249.45, Train: 0.79200, Test: 0.73170, Best: 0.73230
[Epoch=17] Time:2389.56, Train: 0.79550, Test: 0.70920, Best: 0.73230
[Epoch=18] Time:2529.89, Train: 0.79762, Test: 0.67740, Best: 0.73230
[Epoch=19] Time:2670.23, Train: 0.79914, Test: 0.74150, Best: 0.74150
[Epoch=20] Time:2810.83, Train: 0.80640, Test: 0.73600, Best: 0.74150
[Epoch=21] Time:2951.24, Train: 0.80444, Test: 0.71530, Best: 0.74150
[Epoch=22] Time:3091.62, Train: 0.81128, Test: 0.76610, Best: 0.76610
[Epoch=23] Time:3231.97, Train: 0.81086, Test: 0.67720, Best: 0.76610
[Epoch=24] Time:3372.39, Train: 0.81424, Test: 0.74940, Best: 0.76610
[Epoch=25] Time:3512.90, Train: 0.81790, Test: 0.78940, Best: 0.78940
[Epoch=26] Time:3653.48, Train: 0.81610, Test: 0.71430, Best: 0.78940
[Epoch=27] Time:3793.82, Train: 0.82158, Test: 0.76330, Best: 0.78940
[Epoch=28] Time:3934.05, Train: 0.82116, Test: 0.72940, Best: 0.78940
[Epoch=29] Time:4074.32, Train: 0.82134, Test: 0.73570, Best: 0.78940
[Epoch=30] Time:4214.80, Train: 0.82282, Test: 0.78930, Best: 0.78940
[Epoch=31] Time:4355.38, Train: 0.82348, Test: 0.73980, Best: 0.78940
[Epoch=32] Time:4495.57, Train: 0.82644, Test: 0.72090, Best: 0.78940
[Epoch=33] Time:4635.84, Train: 0.83000, Test: 0.74940, Best: 0.78940
[Epoch=34] Time:4776.03, Train: 0.82882, Test: 0.74000, Best: 0.78940
[Epoch=35] Time:4916.29, Train: 0.82944, Test: 0.76010, Best: 0.78940
[Epoch=36] Time:5056.98, Train: 0.83400, Test: 0.75270, Best: 0.78940
[Epoch=37] Time:5197.41, Train: 0.82822, Test: 0.77350, Best: 0.78940
[Epoch=38] Time:5337.59, Train: 0.83128, Test: 0.78120, Best: 0.78940
[Epoch=39] Time:5477.65, Train: 0.83202, Test: 0.75190, Best: 0.78940
[Epoch=40] Time:5617.85, Train: 0.83524, Test: 0.72880, Best: 0.78940
[Epoch=41] Time:5758.31, Train: 0.83386, Test: 0.76810, Best: 0.78940
[Epoch=42] Time:5898.62, Train: 0.83622, Test: 0.79680, Best: 0.79680
[Epoch=43] Time:6038.79, Train: 0.83738, Test: 0.77820, Best: 0.79680
[Epoch=44] Time:6179.04, Train: 0.83658, Test: 0.80400, Best: 0.80400
[Epoch=45] Time:6319.18, Train: 0.83670, Test: 0.79110, Best: 0.80400
[Epoch=46] Time:6459.34, Train: 0.83888, Test: 0.65980, Best: 0.80400
[Epoch=47] Time:6599.86, Train: 0.83820, Test: 0.70020, Best: 0.80400
[Epoch=48] Time:6739.97, Train: 0.83876, Test: 0.74630, Best: 0.80400
[Epoch=49] Time:6880.28, Train: 0.83980, Test: 0.77450, Best: 0.80400
[Epoch=50] Time:7010.11, Train: 0.83992, Test: 0.79240, Best: 0.80400
[Epoch=51] Time:7084.87, Train: 0.84226, Test: 0.74290, Best: 0.80400
[Epoch=52] Time:7159.68, Train: 0.84194, Test: 0.68380, Best: 0.80400
[Epoch=53] Time:7234.52, Train: 0.84360, Test: 0.79270, Best: 0.80400
[Epoch=54] Time:7309.36, Train: 0.84178, Test: 0.72230, Best: 0.80400
[Epoch=55] Time:7384.19, Train: 0.84128, Test: 0.75470, Best: 0.80400
[Epoch=56] Time:7459.02, Train: 0.84260, Test: 0.75820, Best: 0.80400
[Epoch=57] Time:7533.82, Train: 0.84474, Test: 0.78590, Best: 0.80400
[Epoch=58] Time:7608.64, Train: 0.84316, Test: 0.70680, Best: 0.80400
[Epoch=59] Time:7683.48, Train: 0.84540, Test: 0.77450, Best: 0.80400
[Epoch=60] Time:7758.29, Train: 0.84390, Test: 0.74940, Best: 0.80400
