Namespace(T=100, batchSize=128, dataset='cifar10', epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./resnext/dd_teacher_100.pth', net='resnext', ngpu=1, role='teacher', root='/home/luinx/data/cifar10-py')
[Epoch=1] Time:146.20, Train: 0.23268, Test: 0.27970, Best: 0.27970
[Epoch=2] Time:289.57, Train: 0.36440, Test: 0.34850, Best: 0.34850
[Epoch=3] Time:432.56, Train: 0.51600, Test: 0.51200, Best: 0.51200
[Epoch=4] Time:575.42, Train: 0.59276, Test: 0.40900, Best: 0.51200
[Epoch=5] Time:718.46, Train: 0.65186, Test: 0.55280, Best: 0.55280
[Epoch=6] Time:861.62, Train: 0.68452, Test: 0.57070, Best: 0.57070
[Epoch=7] Time:1004.78, Train: 0.71604, Test: 0.60540, Best: 0.60540
[Epoch=8] Time:1148.21, Train: 0.74396, Test: 0.67570, Best: 0.67570
[Epoch=9] Time:1291.75, Train: 0.76498, Test: 0.72410, Best: 0.72410
[Epoch=10] Time:1434.69, Train: 0.78220, Test: 0.73230, Best: 0.73230
[Epoch=11] Time:1577.79, Train: 0.79498, Test: 0.57660, Best: 0.73230
[Epoch=12] Time:1720.81, Train: 0.80728, Test: 0.73740, Best: 0.73740
[Epoch=13] Time:1864.16, Train: 0.81422, Test: 0.74220, Best: 0.74220
[Epoch=14] Time:2006.86, Train: 0.82220, Test: 0.72740, Best: 0.74220
[Epoch=15] Time:2149.94, Train: 0.82590, Test: 0.80520, Best: 0.80520
[Epoch=16] Time:2292.75, Train: 0.83354, Test: 0.74170, Best: 0.80520
[Epoch=17] Time:2435.53, Train: 0.83492, Test: 0.73960, Best: 0.80520
[Epoch=18] Time:2578.45, Train: 0.84010, Test: 0.70990, Best: 0.80520
[Epoch=19] Time:2721.00, Train: 0.84318, Test: 0.72400, Best: 0.80520
[Epoch=20] Time:2863.91, Train: 0.84520, Test: 0.77480, Best: 0.80520
[Epoch=21] Time:3006.86, Train: 0.85042, Test: 0.80410, Best: 0.80520
[Epoch=22] Time:3150.05, Train: 0.85082, Test: 0.80370, Best: 0.80520
[Epoch=23] Time:3292.68, Train: 0.85472, Test: 0.72090, Best: 0.80520
[Epoch=24] Time:3435.39, Train: 0.85270, Test: 0.69050, Best: 0.80520
[Epoch=25] Time:3578.04, Train: 0.85834, Test: 0.80970, Best: 0.80970
[Epoch=26] Time:3720.62, Train: 0.86066, Test: 0.71260, Best: 0.80970
[Epoch=27] Time:3863.24, Train: 0.86142, Test: 0.77770, Best: 0.80970
[Epoch=28] Time:4005.46, Train: 0.86486, Test: 0.73850, Best: 0.80970
[Epoch=29] Time:4147.96, Train: 0.86524, Test: 0.80090, Best: 0.80970
[Epoch=30] Time:4290.71, Train: 0.86660, Test: 0.80290, Best: 0.80970
[Epoch=31] Time:4433.53, Train: 0.86586, Test: 0.67910, Best: 0.80970
[Epoch=32] Time:4576.58, Train: 0.86908, Test: 0.80370, Best: 0.80970
[Epoch=33] Time:4719.79, Train: 0.87046, Test: 0.79850, Best: 0.80970
[Epoch=34] Time:4861.64, Train: 0.87180, Test: 0.83890, Best: 0.83890
[Epoch=35] Time:5004.06, Train: 0.87060, Test: 0.69660, Best: 0.83890
[Epoch=36] Time:5146.33, Train: 0.87468, Test: 0.76070, Best: 0.83890
[Epoch=37] Time:5288.83, Train: 0.87466, Test: 0.79170, Best: 0.83890
[Epoch=38] Time:5431.57, Train: 0.87446, Test: 0.80050, Best: 0.83890
[Epoch=39] Time:5574.38, Train: 0.87636, Test: 0.83400, Best: 0.83890
[Epoch=40] Time:5717.24, Train: 0.87848, Test: 0.80680, Best: 0.83890
[Epoch=41] Time:5860.16, Train: 0.87704, Test: 0.80150, Best: 0.83890
[Epoch=42] Time:6003.40, Train: 0.88186, Test: 0.79330, Best: 0.83890
[Epoch=43] Time:6146.14, Train: 0.87828, Test: 0.80950, Best: 0.83890
[Epoch=44] Time:6288.80, Train: 0.87648, Test: 0.78000, Best: 0.83890
[Epoch=45] Time:6431.47, Train: 0.87944, Test: 0.76960, Best: 0.83890
[Epoch=46] Time:6574.19, Train: 0.87988, Test: 0.78130, Best: 0.83890
