Namespace(batchSize=128, dataset='cifar10', epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./resnext/plain.pth', net='resnext', ngpu=1, root='/home/luinx/data/cifar10-py')
[Epoch=1] Time:142.47, Train: 0.16328, Test: 0.22600, Best: 0.22600
[Epoch=2] Time:282.72, Train: 0.30140, Test: 0.33800, Best: 0.33800
[Epoch=3] Time:422.93, Train: 0.39834, Test: 0.42590, Best: 0.42590
[Epoch=4] Time:563.13, Train: 0.51320, Test: 0.51570, Best: 0.51570
[Epoch=5] Time:703.71, Train: 0.60314, Test: 0.56840, Best: 0.56840
[Epoch=6] Time:844.34, Train: 0.64858, Test: 0.61260, Best: 0.61260
[Epoch=7] Time:984.75, Train: 0.68474, Test: 0.53160, Best: 0.61260
[Epoch=8] Time:1125.20, Train: 0.70782, Test: 0.72510, Best: 0.72510
[Epoch=9] Time:1265.95, Train: 0.73670, Test: 0.73690, Best: 0.73690
[Epoch=10] Time:1407.22, Train: 0.75528, Test: 0.68490, Best: 0.73690
[Epoch=11] Time:1548.20, Train: 0.77334, Test: 0.75430, Best: 0.75430
[Epoch=12] Time:1689.11, Train: 0.78802, Test: 0.72480, Best: 0.75430
[Epoch=13] Time:1830.11, Train: 0.80062, Test: 0.69220, Best: 0.75430
[Epoch=14] Time:1970.99, Train: 0.80942, Test: 0.76950, Best: 0.76950
[Epoch=15] Time:2111.47, Train: 0.81796, Test: 0.75530, Best: 0.76950
[Epoch=16] Time:2252.52, Train: 0.82250, Test: 0.70040, Best: 0.76950
[Epoch=17] Time:2393.57, Train: 0.82784, Test: 0.78630, Best: 0.78630
[Epoch=18] Time:2534.53, Train: 0.83478, Test: 0.75570, Best: 0.78630
[Epoch=19] Time:2675.43, Train: 0.83624, Test: 0.73930, Best: 0.78630
[Epoch=20] Time:2816.33, Train: 0.84054, Test: 0.71540, Best: 0.78630
[Epoch=21] Time:2957.35, Train: 0.84784, Test: 0.83080, Best: 0.83080
[Epoch=22] Time:3098.36, Train: 0.84680, Test: 0.76690, Best: 0.83080
[Epoch=23] Time:3239.19, Train: 0.85014, Test: 0.74450, Best: 0.83080
[Epoch=24] Time:3380.17, Train: 0.85292, Test: 0.77210, Best: 0.83080
[Epoch=25] Time:3520.91, Train: 0.85350, Test: 0.79670, Best: 0.83080
[Epoch=26] Time:3661.50, Train: 0.85662, Test: 0.77880, Best: 0.83080
[Epoch=27] Time:3802.33, Train: 0.85654, Test: 0.77270, Best: 0.83080
[Epoch=28] Time:3943.12, Train: 0.86062, Test: 0.75380, Best: 0.83080
[Epoch=29] Time:4084.03, Train: 0.86262, Test: 0.78260, Best: 0.83080
[Epoch=30] Time:4224.97, Train: 0.86232, Test: 0.74540, Best: 0.83080
[Epoch=31] Time:4365.86, Train: 0.86406, Test: 0.75460, Best: 0.83080
[Epoch=32] Time:4506.69, Train: 0.86566, Test: 0.76270, Best: 0.83080
[Epoch=33] Time:4647.46, Train: 0.86488, Test: 0.80430, Best: 0.83080
[Epoch=34] Time:4788.34, Train: 0.86682, Test: 0.78870, Best: 0.83080
[Epoch=35] Time:4929.26, Train: 0.87074, Test: 0.79440, Best: 0.83080
[Epoch=36] Time:5070.15, Train: 0.86678, Test: 0.82630, Best: 0.83080
[Epoch=37] Time:5211.21, Train: 0.87068, Test: 0.79790, Best: 0.83080
[Epoch=38] Time:5352.09, Train: 0.86670, Test: 0.79780, Best: 0.83080
[Epoch=39] Time:5492.82, Train: 0.87180, Test: 0.81450, Best: 0.83080
[Epoch=40] Time:5633.54, Train: 0.87220, Test: 0.80070, Best: 0.83080
[Epoch=41] Time:5774.25, Train: 0.87298, Test: 0.74880, Best: 0.83080
[Epoch=42] Time:5914.96, Train: 0.87508, Test: 0.80680, Best: 0.83080
[Epoch=43] Time:6055.77, Train: 0.87862, Test: 0.78230, Best: 0.83080
[Epoch=44] Time:6196.29, Train: 0.87800, Test: 0.85910, Best: 0.85910
[Epoch=45] Time:6336.76, Train: 0.87448, Test: 0.77260, Best: 0.85910
[Epoch=46] Time:6477.36, Train: 0.87604, Test: 0.81110, Best: 0.85910
[Epoch=47] Time:6613.07, Train: 0.88126, Test: 0.77980, Best: 0.85910
[Epoch=48] Time:6687.93, Train: 0.87648, Test: 0.81690, Best: 0.85910
[Epoch=49] Time:6762.87, Train: 0.87870, Test: 0.73730, Best: 0.85910
[Epoch=50] Time:6837.80, Train: 0.88004, Test: 0.84290, Best: 0.85910
[Epoch=51] Time:6912.73, Train: 0.87864, Test: 0.84670, Best: 0.85910
[Epoch=52] Time:6987.68, Train: 0.88110, Test: 0.80620, Best: 0.85910
[Epoch=53] Time:7062.67, Train: 0.87776, Test: 0.77300, Best: 0.85910
[Epoch=54] Time:7137.66, Train: 0.88086, Test: 0.79970, Best: 0.85910
[Epoch=55] Time:7212.61, Train: 0.88264, Test: 0.84000, Best: 0.85910
[Epoch=56] Time:7287.57, Train: 0.88278, Test: 0.80700, Best: 0.85910
[Epoch=57] Time:7362.56, Train: 0.88076, Test: 0.82050, Best: 0.85910
[Epoch=58] Time:7437.60, Train: 0.88208, Test: 0.80580, Best: 0.85910
[Epoch=59] Time:7512.56, Train: 0.88386, Test: 0.81350, Best: 0.85910
[Epoch=60] Time:7587.52, Train: 0.88044, Test: 0.84600, Best: 0.85910
[Epoch=61] Time:7662.59, Train: 0.88432, Test: 0.82160, Best: 0.85910
[Epoch=62] Time:7737.63, Train: 0.88574, Test: 0.84470, Best: 0.85910
[Epoch=63] Time:7812.56, Train: 0.88288, Test: 0.82230, Best: 0.85910
[Epoch=64] Time:7887.50, Train: 0.88316, Test: 0.67420, Best: 0.85910
[Epoch=65] Time:7962.33, Train: 0.88660, Test: 0.81610, Best: 0.85910
[Epoch=66] Time:8037.19, Train: 0.88198, Test: 0.83910, Best: 0.85910
[Epoch=67] Time:8112.06, Train: 0.88292, Test: 0.81020, Best: 0.85910
[Epoch=68] Time:8186.94, Train: 0.88714, Test: 0.81570, Best: 0.85910
[Epoch=69] Time:8261.83, Train: 0.88122, Test: 0.76180, Best: 0.85910
[Epoch=70] Time:8336.67, Train: 0.88508, Test: 0.86340, Best: 0.86340
[Epoch=71] Time:8411.57, Train: 0.88510, Test: 0.83820, Best: 0.86340
[Epoch=72] Time:8486.42, Train: 0.88668, Test: 0.82980, Best: 0.86340
[Epoch=73] Time:8561.27, Train: 0.88540, Test: 0.78630, Best: 0.86340
[Epoch=74] Time:8636.11, Train: 0.88608, Test: 0.81770, Best: 0.86340
[Epoch=75] Time:8710.92, Train: 0.88430, Test: 0.85370, Best: 0.86340
[Epoch=76] Time:8785.74, Train: 0.88850, Test: 0.83720, Best: 0.86340
[Epoch=77] Time:8860.57, Train: 0.88920, Test: 0.81060, Best: 0.86340
[Epoch=78] Time:8935.34, Train: 0.88822, Test: 0.82510, Best: 0.86340
[Epoch=79] Time:9010.11, Train: 0.88852, Test: 0.78610, Best: 0.86340
[Epoch=80] Time:9084.89, Train: 0.88948, Test: 0.81220, Best: 0.86340
[Epoch=81] Time:9159.68, Train: 0.94206, Test: 0.92640, Best: 0.92640
[Epoch=82] Time:9234.47, Train: 0.95802, Test: 0.93280, Best: 0.93280
[Epoch=83] Time:9309.25, Train: 0.96480, Test: 0.93320, Best: 0.93320
[Epoch=84] Time:9384.03, Train: 0.96856, Test: 0.93870, Best: 0.93870
[Epoch=85] Time:9458.81, Train: 0.97148, Test: 0.93710, Best: 0.93870
[Epoch=86] Time:9533.61, Train: 0.97470, Test: 0.93520, Best: 0.93870
[Epoch=87] Time:9608.42, Train: 0.97902, Test: 0.93770, Best: 0.93870
[Epoch=88] Time:9683.22, Train: 0.97868, Test: 0.94080, Best: 0.94080
[Epoch=89] Time:9757.98, Train: 0.98212, Test: 0.93920, Best: 0.94080
[Epoch=90] Time:9832.76, Train: 0.98356, Test: 0.93650, Best: 0.94080
[Epoch=91] Time:9907.50, Train: 0.98560, Test: 0.93700, Best: 0.94080
[Epoch=92] Time:9982.27, Train: 0.98658, Test: 0.93170, Best: 0.94080
[Epoch=93] Time:10057.00, Train: 0.98848, Test: 0.93340, Best: 0.94080
[Epoch=94] Time:10131.77, Train: 0.98924, Test: 0.93400, Best: 0.94080
[Epoch=95] Time:10206.52, Train: 0.99106, Test: 0.93540, Best: 0.94080
[Epoch=96] Time:10281.29, Train: 0.99086, Test: 0.93860, Best: 0.94080
