Namespace(batchSize=128, dataset='stl10', lr=0.1, method='momsgd', modelOut='./stl10/brelu_0.05.pth', net='stl10_model', ngpu=1, noiseInit=0.05, root='/home/luinx/data/stl10')
[Epoch=1] Time:4.06, Train: 0.24300, Test: 0.18413, Best: 0.18413
[Epoch=2] Time:6.13, Train: 0.31640, Test: 0.29213, Best: 0.29213
[Epoch=3] Time:8.23, Train: 0.35760, Test: 0.31662, Best: 0.31662
[Epoch=4] Time:10.31, Train: 0.36500, Test: 0.34137, Best: 0.34137
[Epoch=5] Time:12.38, Train: 0.38180, Test: 0.33475, Best: 0.34137
[Epoch=6] Time:14.46, Train: 0.41540, Test: 0.36238, Best: 0.36238
[Epoch=7] Time:16.42, Train: 0.47240, Test: 0.42550, Best: 0.42550
[Epoch=8] Time:18.45, Train: 0.49580, Test: 0.44875, Best: 0.44875
[Epoch=9] Time:20.49, Train: 0.50660, Test: 0.42188, Best: 0.44875
[Epoch=10] Time:22.54, Train: 0.51240, Test: 0.44400, Best: 0.44875
[Epoch=11] Time:24.63, Train: 0.54380, Test: 0.41700, Best: 0.44875
[Epoch=12] Time:26.69, Train: 0.58220, Test: 0.45600, Best: 0.45600
[Epoch=13] Time:28.75, Train: 0.54300, Test: 0.47875, Best: 0.47875
[Epoch=14] Time:30.83, Train: 0.55000, Test: 0.47850, Best: 0.47875
[Epoch=15] Time:32.92, Train: 0.61380, Test: 0.47287, Best: 0.47875
[Epoch=16] Time:34.90, Train: 0.61920, Test: 0.49350, Best: 0.49350
[Epoch=17] Time:36.93, Train: 0.65000, Test: 0.47425, Best: 0.49350
[Epoch=18] Time:39.03, Train: 0.65940, Test: 0.41050, Best: 0.49350
[Epoch=19] Time:41.17, Train: 0.60680, Test: 0.36788, Best: 0.49350
[Epoch=20] Time:43.23, Train: 0.65080, Test: 0.49950, Best: 0.49950
[Epoch=21] Time:45.29, Train: 0.65100, Test: 0.43500, Best: 0.49950
[Epoch=22] Time:47.45, Train: 0.68280, Test: 0.58888, Best: 0.58888
[Epoch=23] Time:49.49, Train: 0.73400, Test: 0.52850, Best: 0.58888
[Epoch=24] Time:51.47, Train: 0.71240, Test: 0.56775, Best: 0.58888
[Epoch=25] Time:53.54, Train: 0.73020, Test: 0.51663, Best: 0.58888
[Epoch=26] Time:55.62, Train: 0.72920, Test: 0.50738, Best: 0.58888
[Epoch=27] Time:57.76, Train: 0.70680, Test: 0.57388, Best: 0.58888
[Epoch=28] Time:59.82, Train: 0.76860, Test: 0.52550, Best: 0.58888
[Epoch=29] Time:61.90, Train: 0.76680, Test: 0.48000, Best: 0.58888
[Epoch=30] Time:63.99, Train: 0.74100, Test: 0.55275, Best: 0.58888
[Epoch=31] Time:66.07, Train: 0.77420, Test: 0.57350, Best: 0.58888
[Epoch=32] Time:68.17, Train: 0.76640, Test: 0.61075, Best: 0.61075
[Epoch=33] Time:70.19, Train: 0.78500, Test: 0.57437, Best: 0.61075
[Epoch=34] Time:72.31, Train: 0.75200, Test: 0.59762, Best: 0.61075
[Epoch=35] Time:74.36, Train: 0.84620, Test: 0.60562, Best: 0.61075
[Epoch=36] Time:76.44, Train: 0.83440, Test: 0.58088, Best: 0.61075
[Epoch=37] Time:78.55, Train: 0.87420, Test: 0.56900, Best: 0.61075
[Epoch=38] Time:80.65, Train: 0.85760, Test: 0.61487, Best: 0.61487
