Namespace(T=100, batchSize=128, dataset='stl10', epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./stl10_model/dd_teacher_100.pth', net='stl10_model', ngpu=1, role='teacher', root='/home/luinx/data/stl10')
[Epoch=1] Time:3.08, Train: 0.28960, Test: 0.20900, Best: 0.20900
[Epoch=2] Time:4.93, Train: 0.33180, Test: 0.35413, Best: 0.35413
[Epoch=3] Time:6.78, Train: 0.41440, Test: 0.33950, Best: 0.35413
[Epoch=4] Time:8.71, Train: 0.44380, Test: 0.31812, Best: 0.35413
[Epoch=5] Time:10.58, Train: 0.45660, Test: 0.43100, Best: 0.43100
[Epoch=6] Time:12.46, Train: 0.49880, Test: 0.37550, Best: 0.43100
[Epoch=7] Time:14.28, Train: 0.50100, Test: 0.40600, Best: 0.43100
[Epoch=8] Time:16.14, Train: 0.52280, Test: 0.45400, Best: 0.45400
[Epoch=9] Time:18.06, Train: 0.56060, Test: 0.53738, Best: 0.53738
[Epoch=10] Time:19.96, Train: 0.59420, Test: 0.48425, Best: 0.53738
[Epoch=11] Time:21.86, Train: 0.61220, Test: 0.52687, Best: 0.53738
[Epoch=12] Time:23.72, Train: 0.58780, Test: 0.45913, Best: 0.53738
[Epoch=13] Time:25.58, Train: 0.65200, Test: 0.53175, Best: 0.53738
[Epoch=14] Time:27.44, Train: 0.67340, Test: 0.50000, Best: 0.53738
[Epoch=15] Time:29.32, Train: 0.65540, Test: 0.49725, Best: 0.53738
[Epoch=16] Time:31.15, Train: 0.68800, Test: 0.50438, Best: 0.53738
[Epoch=17] Time:32.97, Train: 0.68800, Test: 0.53087, Best: 0.53738
[Epoch=18] Time:34.89, Train: 0.68820, Test: 0.55812, Best: 0.55812
[Epoch=19] Time:36.74, Train: 0.68220, Test: 0.55600, Best: 0.55812
[Epoch=20] Time:38.59, Train: 0.75600, Test: 0.57962, Best: 0.57962
[Epoch=21] Time:40.49, Train: 0.68480, Test: 0.51000, Best: 0.57962
[Epoch=22] Time:42.41, Train: 0.75920, Test: 0.57937, Best: 0.57962
