Namespace(batchSize=128, dataset='stl10', lr=0.1, method='momsgd', modelOut='./stl10/rse_0.4_0.1.pth', net='stl10_model', ngpu=1, noiseInit=0.4, noiseInner=0.1, root='/home/luinx/data/stl10')
[Epoch=1] Time:6.97, Train: 0.24580, Test: 0.25962, Best: 0.25962
[Epoch=2] Time:8.94, Train: 0.31840, Test: 0.29287, Best: 0.29287
[Epoch=3] Time:10.90, Train: 0.37060, Test: 0.29762, Best: 0.29762
[Epoch=4] Time:12.86, Train: 0.38580, Test: 0.37438, Best: 0.37438
[Epoch=5] Time:14.81, Train: 0.43860, Test: 0.38425, Best: 0.38425
[Epoch=6] Time:16.79, Train: 0.41160, Test: 0.31575, Best: 0.38425
[Epoch=7] Time:18.83, Train: 0.38720, Test: 0.36112, Best: 0.38425
[Epoch=8] Time:20.79, Train: 0.41620, Test: 0.38962, Best: 0.38962
[Epoch=9] Time:22.81, Train: 0.46540, Test: 0.43488, Best: 0.43488
[Epoch=10] Time:24.79, Train: 0.47780, Test: 0.34213, Best: 0.43488
[Epoch=11] Time:26.75, Train: 0.41580, Test: 0.37738, Best: 0.43488
[Epoch=12] Time:28.76, Train: 0.45660, Test: 0.42425, Best: 0.43488
[Epoch=13] Time:30.74, Train: 0.47200, Test: 0.41050, Best: 0.43488
[Epoch=14] Time:32.72, Train: 0.50800, Test: 0.40113, Best: 0.43488
[Epoch=15] Time:34.70, Train: 0.53640, Test: 0.50600, Best: 0.50600
[Epoch=16] Time:36.68, Train: 0.55300, Test: 0.45863, Best: 0.50600
[Epoch=17] Time:38.70, Train: 0.50560, Test: 0.44100, Best: 0.50600
[Epoch=18] Time:40.71, Train: 0.54580, Test: 0.45563, Best: 0.50600
[Epoch=19] Time:42.66, Train: 0.49820, Test: 0.51113, Best: 0.51113
[Epoch=20] Time:44.64, Train: 0.56920, Test: 0.51987, Best: 0.51987
[Epoch=21] Time:46.61, Train: 0.57300, Test: 0.55100, Best: 0.55100
[Epoch=22] Time:48.59, Train: 0.59620, Test: 0.50262, Best: 0.55100
[Epoch=23] Time:50.59, Train: 0.60420, Test: 0.50975, Best: 0.55100
[Epoch=24] Time:52.59, Train: 0.59320, Test: 0.55512, Best: 0.55512
[Epoch=25] Time:54.57, Train: 0.60860, Test: 0.55512, Best: 0.55512
[Epoch=26] Time:56.55, Train: 0.63020, Test: 0.38138, Best: 0.55512
[Epoch=27] Time:58.59, Train: 0.54060, Test: 0.52163, Best: 0.55512
[Epoch=28] Time:60.55, Train: 0.56460, Test: 0.56112, Best: 0.56112
[Epoch=29] Time:62.52, Train: 0.60020, Test: 0.54863, Best: 0.56112
[Epoch=30] Time:64.46, Train: 0.64600, Test: 0.51150, Best: 0.56112
[Epoch=31] Time:66.45, Train: 0.60920, Test: 0.47163, Best: 0.56112
[Epoch=32] Time:68.46, Train: 0.58060, Test: 0.55712, Best: 0.56112
[Epoch=33] Time:70.47, Train: 0.63840, Test: 0.59925, Best: 0.59925
[Epoch=34] Time:72.45, Train: 0.66000, Test: 0.54750, Best: 0.59925
[Epoch=35] Time:74.43, Train: 0.68640, Test: 0.48375, Best: 0.59925
[Epoch=36] Time:76.49, Train: 0.56440, Test: 0.51113, Best: 0.59925
