Namespace(batchSize=128, dataset='cifar10', lr=0.1, method='momsgd', modelOut='./vgg16/brelu_0.05.pth', net='vgg16', ngpu=1, noiseInit=0.05, root='/home/luinx/data/cifar10-py')
[Epoch=1] Time:32.56, Train: 0.10076, Test: 0.10000, Best: 0.10000
[Epoch=2] Time:63.68, Train: 0.09834, Test: 0.10000, Best: 0.10000
[Epoch=3] Time:94.90, Train: 0.16006, Test: 0.17500, Best: 0.17500
[Epoch=4] Time:126.39, Train: 0.26492, Test: 0.31140, Best: 0.31140
[Epoch=5] Time:157.91, Train: 0.36314, Test: 0.40310, Best: 0.40310
[Epoch=6] Time:189.44, Train: 0.48888, Test: 0.50200, Best: 0.50200
[Epoch=7] Time:220.94, Train: 0.57786, Test: 0.50270, Best: 0.50270
[Epoch=8] Time:252.44, Train: 0.63894, Test: 0.54710, Best: 0.54710
[Epoch=9] Time:284.00, Train: 0.68736, Test: 0.61500, Best: 0.61500
[Epoch=10] Time:315.50, Train: 0.71652, Test: 0.63430, Best: 0.63430
[Epoch=11] Time:347.02, Train: 0.73638, Test: 0.63430, Best: 0.63430
[Epoch=12] Time:378.52, Train: 0.74998, Test: 0.70410, Best: 0.70410
[Epoch=13] Time:410.03, Train: 0.76062, Test: 0.63910, Best: 0.70410
[Epoch=14] Time:441.54, Train: 0.77074, Test: 0.70380, Best: 0.70410
[Epoch=15] Time:473.03, Train: 0.77914, Test: 0.65920, Best: 0.70410
[Epoch=16] Time:504.54, Train: 0.78614, Test: 0.67850, Best: 0.70410
[Epoch=17] Time:536.03, Train: 0.78814, Test: 0.65690, Best: 0.70410
[Epoch=18] Time:567.53, Train: 0.79710, Test: 0.67010, Best: 0.70410
[Epoch=19] Time:599.06, Train: 0.79858, Test: 0.66600, Best: 0.70410
[Epoch=20] Time:630.56, Train: 0.80292, Test: 0.73120, Best: 0.73120
[Epoch=21] Time:662.09, Train: 0.80638, Test: 0.66150, Best: 0.73120
[Epoch=22] Time:693.57, Train: 0.80638, Test: 0.73440, Best: 0.73440
[Epoch=23] Time:725.07, Train: 0.80864, Test: 0.74500, Best: 0.74500
[Epoch=24] Time:756.61, Train: 0.81138, Test: 0.75320, Best: 0.75320
[Epoch=25] Time:788.12, Train: 0.81288, Test: 0.67640, Best: 0.75320
[Epoch=26] Time:819.64, Train: 0.81492, Test: 0.69680, Best: 0.75320
[Epoch=27] Time:851.14, Train: 0.81472, Test: 0.73310, Best: 0.75320
[Epoch=28] Time:882.65, Train: 0.81808, Test: 0.66950, Best: 0.75320
[Epoch=29] Time:914.17, Train: 0.82030, Test: 0.68930, Best: 0.75320
[Epoch=30] Time:945.66, Train: 0.82128, Test: 0.68050, Best: 0.75320
[Epoch=31] Time:977.15, Train: 0.81846, Test: 0.78820, Best: 0.78820
[Epoch=32] Time:1008.66, Train: 0.82382, Test: 0.66520, Best: 0.78820
[Epoch=33] Time:1040.15, Train: 0.82610, Test: 0.71460, Best: 0.78820
[Epoch=34] Time:1071.67, Train: 0.82626, Test: 0.75370, Best: 0.78820
[Epoch=35] Time:1103.22, Train: 0.82468, Test: 0.72060, Best: 0.78820
[Epoch=36] Time:1134.72, Train: 0.82780, Test: 0.78620, Best: 0.78820
[Epoch=37] Time:1166.22, Train: 0.82954, Test: 0.78270, Best: 0.78820
[Epoch=38] Time:1197.71, Train: 0.82714, Test: 0.71530, Best: 0.78820
[Epoch=39] Time:1229.20, Train: 0.82856, Test: 0.70700, Best: 0.78820
[Epoch=40] Time:1260.70, Train: 0.82832, Test: 0.52790, Best: 0.78820
[Epoch=41] Time:1292.22, Train: 0.82870, Test: 0.68190, Best: 0.78820
[Epoch=42] Time:1323.72, Train: 0.83118, Test: 0.68670, Best: 0.78820
[Epoch=43] Time:1355.23, Train: 0.83060, Test: 0.63520, Best: 0.78820
[Epoch=44] Time:1386.76, Train: 0.83228, Test: 0.67630, Best: 0.78820
[Epoch=45] Time:1418.26, Train: 0.83170, Test: 0.75570, Best: 0.78820
[Epoch=46] Time:1449.79, Train: 0.83190, Test: 0.72770, Best: 0.78820
[Epoch=47] Time:1481.30, Train: 0.82790, Test: 0.78100, Best: 0.78820
[Epoch=48] Time:1512.82, Train: 0.83428, Test: 0.74920, Best: 0.78820
[Epoch=49] Time:1544.30, Train: 0.83414, Test: 0.79810, Best: 0.79810
[Epoch=50] Time:1575.83, Train: 0.83468, Test: 0.72330, Best: 0.79810
[Epoch=51] Time:1607.34, Train: 0.83662, Test: 0.72320, Best: 0.79810
