Namespace(T=100, batchSize=128, dataset='cifar10', epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg16/dd_teacher_100.pth', net='vgg16', ngpu=1, role='teacher', root='/home/luinx/data/cifar10-py')
[Epoch=1] Time:33.11, Train: 0.24224, Test: 0.25590, Best: 0.25590
[Epoch=2] Time:64.29, Train: 0.30088, Test: 0.38690, Best: 0.38690
[Epoch=3] Time:95.55, Train: 0.49544, Test: 0.46170, Best: 0.46170
[Epoch=4] Time:126.86, Train: 0.61160, Test: 0.60580, Best: 0.60580
[Epoch=5] Time:158.33, Train: 0.67464, Test: 0.58560, Best: 0.60580
[Epoch=6] Time:189.99, Train: 0.72894, Test: 0.70930, Best: 0.70930
[Epoch=7] Time:221.58, Train: 0.76320, Test: 0.68250, Best: 0.70930
[Epoch=8] Time:253.17, Train: 0.78658, Test: 0.74530, Best: 0.74530
[Epoch=9] Time:284.70, Train: 0.80318, Test: 0.76810, Best: 0.76810
[Epoch=10] Time:316.22, Train: 0.81318, Test: 0.71630, Best: 0.76810
[Epoch=11] Time:347.76, Train: 0.81948, Test: 0.72570, Best: 0.76810
[Epoch=12] Time:379.26, Train: 0.82588, Test: 0.76480, Best: 0.76810
[Epoch=13] Time:410.89, Train: 0.83144, Test: 0.75160, Best: 0.76810
[Epoch=14] Time:442.45, Train: 0.83422, Test: 0.56770, Best: 0.76810
[Epoch=15] Time:474.18, Train: 0.83712, Test: 0.77920, Best: 0.77920
[Epoch=16] Time:505.75, Train: 0.84112, Test: 0.80890, Best: 0.80890
[Epoch=17] Time:537.47, Train: 0.84452, Test: 0.77680, Best: 0.80890
[Epoch=18] Time:569.17, Train: 0.84328, Test: 0.74610, Best: 0.80890
[Epoch=19] Time:600.74, Train: 0.85006, Test: 0.76910, Best: 0.80890
[Epoch=20] Time:632.33, Train: 0.84982, Test: 0.76590, Best: 0.80890
[Epoch=21] Time:664.11, Train: 0.85504, Test: 0.79430, Best: 0.80890
[Epoch=22] Time:695.70, Train: 0.85174, Test: 0.77200, Best: 0.80890
[Epoch=23] Time:727.31, Train: 0.85632, Test: 0.61090, Best: 0.80890
[Epoch=24] Time:758.97, Train: 0.85664, Test: 0.79640, Best: 0.80890
[Epoch=25] Time:790.52, Train: 0.85728, Test: 0.77120, Best: 0.80890
[Epoch=26] Time:822.39, Train: 0.85836, Test: 0.69080, Best: 0.80890
[Epoch=27] Time:853.95, Train: 0.86068, Test: 0.78980, Best: 0.80890
[Epoch=28] Time:885.88, Train: 0.85980, Test: 0.78430, Best: 0.80890
[Epoch=29] Time:917.39, Train: 0.85994, Test: 0.80060, Best: 0.80890
[Epoch=30] Time:949.13, Train: 0.86260, Test: 0.80440, Best: 0.80890
[Epoch=31] Time:980.95, Train: 0.86292, Test: 0.74270, Best: 0.80890
[Epoch=32] Time:1012.67, Train: 0.86362, Test: 0.74150, Best: 0.80890
[Epoch=33] Time:1044.20, Train: 0.86060, Test: 0.79390, Best: 0.80890
[Epoch=34] Time:1075.72, Train: 0.86500, Test: 0.81650, Best: 0.81650
[Epoch=35] Time:1107.25, Train: 0.86432, Test: 0.73840, Best: 0.81650
[Epoch=36] Time:1138.97, Train: 0.86372, Test: 0.74500, Best: 0.81650
[Epoch=37] Time:1170.48, Train: 0.86368, Test: 0.84190, Best: 0.84190
[Epoch=38] Time:1202.19, Train: 0.86664, Test: 0.77670, Best: 0.84190
[Epoch=39] Time:1233.69, Train: 0.86474, Test: 0.74770, Best: 0.84190
[Epoch=40] Time:1265.30, Train: 0.86732, Test: 0.79050, Best: 0.84190
[Epoch=41] Time:1296.92, Train: 0.86518, Test: 0.82420, Best: 0.84190
[Epoch=42] Time:1328.45, Train: 0.86666, Test: 0.78800, Best: 0.84190
[Epoch=43] Time:1360.00, Train: 0.86618, Test: 0.82480, Best: 0.84190
[Epoch=44] Time:1391.66, Train: 0.86946, Test: 0.68310, Best: 0.84190
[Epoch=45] Time:1423.36, Train: 0.86680, Test: 0.79360, Best: 0.84190
[Epoch=46] Time:1455.02, Train: 0.86950, Test: 0.82330, Best: 0.84190
[Epoch=47] Time:1486.67, Train: 0.86800, Test: 0.76710, Best: 0.84190
[Epoch=48] Time:1518.22, Train: 0.86666, Test: 0.74240, Best: 0.84190
[Epoch=49] Time:1549.78, Train: 0.86816, Test: 0.80150, Best: 0.84190
[Epoch=50] Time:1581.65, Train: 0.86618, Test: 0.78920, Best: 0.84190
