Namespace(batchSize=128, epoch=25, lr=0.05, method='momsgd', modelIn='noise0.1_I.pth', modelOut='noise0.1_II.pth', ngpu=1, noise=0.1)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 35.39993762969971, Train loss: 0.0026063916435837744, Train accuracy: 0.88964, Test loss: 0.0037020237416028976, Test accuracy: 0.8469
[Epoch 1] Time: 66.94092130661011, Train loss: 0.0025978141561150553, Train accuracy: 0.8872, Test loss: 0.003539803174138069, Test accuracy: 0.8536
[Epoch 2] Time: 98.77293086051941, Train loss: 0.002493330945968628, Train accuracy: 0.89244, Test loss: 0.0036071950733661652, Test accuracy: 0.8551
[Epoch 3] Time: 130.74716567993164, Train loss: 0.0025417142221331596, Train accuracy: 0.89114, Test loss: 0.003647059345245361, Test accuracy: 0.8437
[Epoch 4] Time: 162.8658812046051, Train loss: 0.0025447349777817725, Train accuracy: 0.88844, Test loss: 0.003757924062013626, Test accuracy: 0.8448
[Epoch 5] Time: 195.1402039527893, Train loss: 0.0024108640271425247, Train accuracy: 0.8954, Test loss: 0.003630587089061737, Test accuracy: 0.8479
[Epoch 6] Time: 227.4026916027069, Train loss: 0.0025382364922761917, Train accuracy: 0.89232, Test loss: 0.003494467703998089, Test accuracy: 0.8541
[Epoch 7] Time: 259.6493294239044, Train loss: 0.0024066280448436735, Train accuracy: 0.89718, Test loss: 0.003519824978709221, Test accuracy: 0.8579
[Epoch 8] Time: 292.0443015098572, Train loss: 0.0023379969468712808, Train accuracy: 0.90046, Test loss: 0.0033271269232034682, Test accuracy: 0.8632
[Epoch 9] Time: 324.4107859134674, Train loss: 0.002472894059717655, Train accuracy: 0.8951, Test loss: 0.0035558353215456007, Test accuracy: 0.8538
[Epoch 10] Time: 356.88253235816956, Train loss: 0.0023922177101671697, Train accuracy: 0.89682, Test loss: 0.0038410610258579254, Test accuracy: 0.8438
[Epoch 11] Time: 389.54551696777344, Train loss: 0.0024247381523251534, Train accuracy: 0.8972, Test loss: 0.003393972972035408, Test accuracy: 0.8542
[Epoch 12] Time: 421.9843604564667, Train loss: 0.0023790364876389502, Train accuracy: 0.89794, Test loss: 0.00356914272159338, Test accuracy: 0.8508
[Epoch 13] Time: 454.2913339138031, Train loss: 0.002502103250324726, Train accuracy: 0.89404, Test loss: 0.003630872231721878, Test accuracy: 0.8477
[Epoch 14] Time: 486.77323174476624, Train loss: 0.0021868291953206064, Train accuracy: 0.90414, Test loss: 0.003348482957482338, Test accuracy: 0.8631
[Epoch 15] Time: 519.4150183200836, Train loss: 0.0024466381698846815, Train accuracy: 0.89298, Test loss: 0.0035090297281742096, Test accuracy: 0.8568
[Epoch 16] Time: 551.6972270011902, Train loss: 0.00247714576035738, Train accuracy: 0.89412, Test loss: 0.0035705971717834473, Test accuracy: 0.8542
[Epoch 17] Time: 584.3957233428955, Train loss: 0.002409809672534466, Train accuracy: 0.89716, Test loss: 0.0034762287482619286, Test accuracy: 0.852
[Epoch 18] Time: 617.0313277244568, Train loss: 0.0022077785673737527, Train accuracy: 0.90612, Test loss: 0.0033712390288710595, Test accuracy: 0.8633
[Epoch 19] Time: 649.6166858673096, Train loss: 0.00214140431240201, Train accuracy: 0.90912, Test loss: 0.003332298657298088, Test accuracy: 0.8625
[Epoch 20] Time: 681.917058467865, Train loss: 0.0022916511511802675, Train accuracy: 0.90338, Test loss: 0.0034792909160256385, Test accuracy: 0.8559
[Epoch 21] Time: 714.1695871353149, Train loss: 0.0021149398094415664, Train accuracy: 0.90972, Test loss: 0.003391053807735443, Test accuracy: 0.8581
[Epoch 22] Time: 746.5247552394867, Train loss: 0.0022339344039559363, Train accuracy: 0.90458, Test loss: 0.003509585750102997, Test accuracy: 0.8575
[Epoch 23] Time: 779.1092534065247, Train loss: 0.0021385857436060905, Train accuracy: 0.9076, Test loss: 0.003404411605000496, Test accuracy: 0.861
[Epoch 24] Time: 811.3227369785309, Train loss: 0.002251932966709137, Train accuracy: 0.90338, Test loss: 0.0035155761942267418, Test accuracy: 0.8596
