Namespace(batchSize=128, epoch=25, lr=0.025, method='momsgd', modelIn='./vgg16/noise0.1_II.pth', modelOut='./vgg16/noise0.1_III.pth', ngpu=1, noise=0.1)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 35.11471104621887, Train loss: 0.0013599660629034043, Train accuracy: 0.9425, Test loss: 0.00273006157875061, Test accuracy: 0.8894
[Epoch 1] Time: 66.5987057685852, Train loss: 0.0013230092187970876, Train accuracy: 0.9442, Test loss: 0.0030202766969799994, Test accuracy: 0.8822
[Epoch 2] Time: 98.31858134269714, Train loss: 0.0012859648364782334, Train accuracy: 0.94324, Test loss: 0.002962684413790703, Test accuracy: 0.8823
[Epoch 3] Time: 130.18776059150696, Train loss: 0.0013439513917267323, Train accuracy: 0.94212, Test loss: 0.0031411196440458296, Test accuracy: 0.878
[Epoch 4] Time: 162.043869972229, Train loss: 0.0013514904309809208, Train accuracy: 0.943, Test loss: 0.0029481766432523726, Test accuracy: 0.8775
[Epoch 5] Time: 193.96604347229004, Train loss: 0.0013418097070604562, Train accuracy: 0.94306, Test loss: 0.0029342070505023, Test accuracy: 0.8841
[Epoch 6] Time: 225.87762928009033, Train loss: 0.0012547646737098694, Train accuracy: 0.94432, Test loss: 0.0028900309652090074, Test accuracy: 0.883
[Epoch 7] Time: 257.8373558521271, Train loss: 0.001554712720066309, Train accuracy: 0.93294, Test loss: 0.0032195360079407694, Test accuracy: 0.8747
[Epoch 8] Time: 289.7446732521057, Train loss: 0.0013508208848536014, Train accuracy: 0.94118, Test loss: 0.0030413952231407165, Test accuracy: 0.8782
[Epoch 9] Time: 321.7027790546417, Train loss: 0.0013729738391935825, Train accuracy: 0.94034, Test loss: 0.0032130006209015846, Test accuracy: 0.8742
[Epoch 10] Time: 353.64623069763184, Train loss: 0.0012664126786589623, Train accuracy: 0.9451, Test loss: 0.0030530403926968576, Test accuracy: 0.8808
[Epoch 11] Time: 385.5844979286194, Train loss: 0.0013085138517618178, Train accuracy: 0.94388, Test loss: 0.0030315177038311956, Test accuracy: 0.8802
[Epoch 12] Time: 417.53552055358887, Train loss: 0.0014664830635488034, Train accuracy: 0.93544, Test loss: 0.003170698648691177, Test accuracy: 0.8752
[Epoch 13] Time: 449.4612457752228, Train loss: 0.001471847186535597, Train accuracy: 0.93576, Test loss: 0.002978232292830944, Test accuracy: 0.8802
[Epoch 14] Time: 481.43282651901245, Train loss: 0.0014990909805893899, Train accuracy: 0.93288, Test loss: 0.0033587623044848444, Test accuracy: 0.868
[Epoch 15] Time: 513.4001433849335, Train loss: 0.001389927848726511, Train accuracy: 0.939, Test loss: 0.0031540235593914986, Test accuracy: 0.8787
[Epoch 16] Time: 545.3881540298462, Train loss: 0.0013441936796158552, Train accuracy: 0.94224, Test loss: 0.003041458813846111, Test accuracy: 0.8793
[Epoch 17] Time: 577.3088927268982, Train loss: 0.0013698506158590317, Train accuracy: 0.93948, Test loss: 0.00327292592972517, Test accuracy: 0.8738
[Epoch 18] Time: 609.2709293365479, Train loss: 0.0015123912055045366, Train accuracy: 0.93518, Test loss: 0.00341206636428833, Test accuracy: 0.8681
