Namespace(batchSize=128, dataset='cifar10', epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg16/plain.pth', net='vgg16', ngpu=1, root='/home/luinx/data/cifar10-py')
[Epoch=1] Time:32.79, Train: 0.18016, Test: 0.22170, Best: 0.22170
[Epoch=2] Time:63.63, Train: 0.26268, Test: 0.27150, Best: 0.27150
[Epoch=3] Time:94.63, Train: 0.34444, Test: 0.35960, Best: 0.35960
[Epoch=4] Time:125.68, Train: 0.46056, Test: 0.46340, Best: 0.46340
[Epoch=5] Time:156.78, Train: 0.57262, Test: 0.57040, Best: 0.57040
[Epoch=6] Time:187.83, Train: 0.64892, Test: 0.61780, Best: 0.61780
[Epoch=7] Time:218.81, Train: 0.69852, Test: 0.62000, Best: 0.62000
[Epoch=8] Time:249.87, Train: 0.72722, Test: 0.63850, Best: 0.63850
[Epoch=9] Time:281.08, Train: 0.75570, Test: 0.73030, Best: 0.73030
[Epoch=10] Time:312.18, Train: 0.77000, Test: 0.73080, Best: 0.73080
[Epoch=11] Time:343.24, Train: 0.78146, Test: 0.70390, Best: 0.73080
[Epoch=12] Time:374.29, Train: 0.79128, Test: 0.71960, Best: 0.73080
[Epoch=13] Time:405.37, Train: 0.79718, Test: 0.64340, Best: 0.73080
[Epoch=14] Time:436.44, Train: 0.80452, Test: 0.74510, Best: 0.74510
[Epoch=15] Time:467.53, Train: 0.81192, Test: 0.78430, Best: 0.78430
[Epoch=16] Time:498.57, Train: 0.81536, Test: 0.73220, Best: 0.78430
[Epoch=17] Time:529.63, Train: 0.82124, Test: 0.75070, Best: 0.78430
[Epoch=18] Time:560.67, Train: 0.82294, Test: 0.59100, Best: 0.78430
[Epoch=19] Time:591.74, Train: 0.82510, Test: 0.63160, Best: 0.78430
[Epoch=20] Time:622.92, Train: 0.82974, Test: 0.77470, Best: 0.78430
[Epoch=21] Time:654.01, Train: 0.83048, Test: 0.75430, Best: 0.78430
[Epoch=22] Time:685.06, Train: 0.83354, Test: 0.71440, Best: 0.78430
[Epoch=23] Time:716.24, Train: 0.83566, Test: 0.77130, Best: 0.78430
[Epoch=24] Time:747.42, Train: 0.84162, Test: 0.71090, Best: 0.78430
[Epoch=25] Time:778.61, Train: 0.84270, Test: 0.72230, Best: 0.78430
[Epoch=26] Time:809.74, Train: 0.84230, Test: 0.78420, Best: 0.78430
[Epoch=27] Time:840.82, Train: 0.84380, Test: 0.78890, Best: 0.78890
[Epoch=28] Time:871.94, Train: 0.84772, Test: 0.79080, Best: 0.79080
[Epoch=29] Time:903.10, Train: 0.84838, Test: 0.73570, Best: 0.79080
[Epoch=30] Time:934.21, Train: 0.84960, Test: 0.72490, Best: 0.79080
[Epoch=31] Time:965.42, Train: 0.85068, Test: 0.77670, Best: 0.79080
[Epoch=32] Time:996.51, Train: 0.84888, Test: 0.66240, Best: 0.79080
[Epoch=33] Time:1027.65, Train: 0.84892, Test: 0.78380, Best: 0.79080
[Epoch=34] Time:1058.88, Train: 0.85470, Test: 0.83200, Best: 0.83200
[Epoch=35] Time:1090.05, Train: 0.85522, Test: 0.74140, Best: 0.83200
[Epoch=36] Time:1121.23, Train: 0.85410, Test: 0.80100, Best: 0.83200
[Epoch=37] Time:1152.36, Train: 0.85544, Test: 0.72910, Best: 0.83200
[Epoch=38] Time:1183.48, Train: 0.85678, Test: 0.73330, Best: 0.83200
[Epoch=39] Time:1214.66, Train: 0.85560, Test: 0.70160, Best: 0.83200
[Epoch=40] Time:1245.79, Train: 0.85614, Test: 0.81950, Best: 0.83200
[Epoch=41] Time:1276.93, Train: 0.85890, Test: 0.80110, Best: 0.83200
[Epoch=42] Time:1308.12, Train: 0.86090, Test: 0.56670, Best: 0.83200
[Epoch=43] Time:1339.33, Train: 0.85948, Test: 0.78740, Best: 0.83200
[Epoch=44] Time:1370.53, Train: 0.86088, Test: 0.77230, Best: 0.83200
