Namespace(batchSize=128, dataset='cifar10', lr=0.1, method='momsgd', modelOut='./vgg16/rse_0.4_0.1.pth', net='vgg16', ngpu=1, noiseInit=0.4, noiseInner=0.1, root='/home/luinx/data/cifar10-py')
[Epoch=1] Time:35.91, Train: 0.11980, Test: 0.16580, Best: 0.16580
[Epoch=2] Time:68.02, Train: 0.19256, Test: 0.16640, Best: 0.16640
[Epoch=3] Time:100.35, Train: 0.27580, Test: 0.29020, Best: 0.29020
[Epoch=4] Time:132.81, Train: 0.34876, Test: 0.24150, Best: 0.29020
[Epoch=5] Time:165.28, Train: 0.43378, Test: 0.45690, Best: 0.45690
[Epoch=6] Time:197.95, Train: 0.51202, Test: 0.54160, Best: 0.54160
[Epoch=7] Time:230.79, Train: 0.57366, Test: 0.42260, Best: 0.54160
[Epoch=8] Time:263.63, Train: 0.61560, Test: 0.60860, Best: 0.60860
[Epoch=9] Time:296.56, Train: 0.65018, Test: 0.59050, Best: 0.60860
[Epoch=10] Time:329.38, Train: 0.67188, Test: 0.67090, Best: 0.67090
[Epoch=11] Time:362.50, Train: 0.69134, Test: 0.56870, Best: 0.67090
[Epoch=12] Time:395.41, Train: 0.70172, Test: 0.68450, Best: 0.68450
[Epoch=13] Time:428.35, Train: 0.71328, Test: 0.65790, Best: 0.68450
[Epoch=14] Time:461.15, Train: 0.71548, Test: 0.68350, Best: 0.68450
[Epoch=15] Time:494.07, Train: 0.72686, Test: 0.69760, Best: 0.69760
[Epoch=16] Time:526.98, Train: 0.72988, Test: 0.71300, Best: 0.71300
[Epoch=17] Time:559.71, Train: 0.73300, Test: 0.68590, Best: 0.71300
[Epoch=18] Time:592.67, Train: 0.73482, Test: 0.69740, Best: 0.71300
[Epoch=19] Time:625.55, Train: 0.74230, Test: 0.73170, Best: 0.73170
[Epoch=20] Time:658.50, Train: 0.74526, Test: 0.72570, Best: 0.73170
[Epoch=21] Time:691.30, Train: 0.74856, Test: 0.61730, Best: 0.73170
[Epoch=22] Time:724.10, Train: 0.74970, Test: 0.69570, Best: 0.73170
[Epoch=23] Time:756.96, Train: 0.75300, Test: 0.72490, Best: 0.73170
[Epoch=24] Time:789.91, Train: 0.75228, Test: 0.73140, Best: 0.73170
[Epoch=25] Time:822.82, Train: 0.75878, Test: 0.73400, Best: 0.73400
[Epoch=26] Time:855.68, Train: 0.75892, Test: 0.70880, Best: 0.73400
[Epoch=27] Time:888.45, Train: 0.76026, Test: 0.73100, Best: 0.73400
[Epoch=28] Time:921.27, Train: 0.76132, Test: 0.70910, Best: 0.73400
[Epoch=29] Time:954.09, Train: 0.76292, Test: 0.71830, Best: 0.73400
[Epoch=30] Time:986.93, Train: 0.76222, Test: 0.71230, Best: 0.73400
[Epoch=31] Time:1019.85, Train: 0.76804, Test: 0.72960, Best: 0.73400
[Epoch=32] Time:1052.71, Train: 0.76862, Test: 0.66510, Best: 0.73400
[Epoch=33] Time:1085.56, Train: 0.76546, Test: 0.71970, Best: 0.73400
[Epoch=34] Time:1118.35, Train: 0.76894, Test: 0.65760, Best: 0.73400
[Epoch=35] Time:1151.34, Train: 0.77070, Test: 0.67750, Best: 0.73400
[Epoch=36] Time:1184.22, Train: 0.77130, Test: 0.70590, Best: 0.73400
[Epoch=37] Time:1217.15, Train: 0.77066, Test: 0.71910, Best: 0.73400
[Epoch=38] Time:1250.15, Train: 0.77232, Test: 0.74070, Best: 0.74070
[Epoch=39] Time:1282.96, Train: 0.77400, Test: 0.71470, Best: 0.74070
[Epoch=40] Time:1315.81, Train: 0.77222, Test: 0.75230, Best: 0.75230
[Epoch=41] Time:1348.60, Train: 0.77216, Test: 0.69090, Best: 0.75230
[Epoch=42] Time:1381.52, Train: 0.77616, Test: 0.66740, Best: 0.75230
[Epoch=43] Time:1414.37, Train: 0.77494, Test: 0.74960, Best: 0.75230
[Epoch=44] Time:1447.29, Train: 0.77930, Test: 0.71430, Best: 0.75230
[Epoch=45] Time:1480.11, Train: 0.77536, Test: 0.69450, Best: 0.75230
[Epoch=46] Time:1512.93, Train: 0.77624, Test: 0.66720, Best: 0.75230
[Epoch=47] Time:1545.69, Train: 0.77572, Test: 0.68500, Best: 0.75230
[Epoch=48] Time:1578.55, Train: 0.77852, Test: 0.74300, Best: 0.75230
[Epoch=49] Time:1611.41, Train: 0.77858, Test: 0.72120, Best: 0.75230
[Epoch=50] Time:1644.25, Train: 0.77938, Test: 0.73920, Best: 0.75230
[Epoch=51] Time:1677.13, Train: 0.77996, Test: 0.70410, Best: 0.75230
[Epoch=52] Time:1710.16, Train: 0.77862, Test: 0.70560, Best: 0.75230
[Epoch=53] Time:1743.27, Train: 0.78162, Test: 0.68410, Best: 0.75230
