Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg19/noise_0.1.pth', ngpu=1, noise=0.1)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 155.94721698760986, Train loss: 0.0180712566280365, Train accuracy: 0.10634, Test loss: 0.01825050685405731, Test accuracy: 0.1098
[Epoch 1] Time: 307.93471932411194, Train loss: 0.01802248332977295, Train accuracy: 0.10692, Test loss: 0.018198342490196227, Test accuracy: 0.11
[Epoch 2] Time: 459.1060972213745, Train loss: 0.017908069295883178, Train accuracy: 0.11696, Test loss: 0.01807824969291687, Test accuracy: 0.1146
[Epoch 3] Time: 608.5388135910034, Train loss: 0.01518034282207489, Train accuracy: 0.2089, Test loss: 0.015271723747253418, Test accuracy: 0.2178
[Epoch 4] Time: 757.737636089325, Train loss: 0.013720337352752686, Train accuracy: 0.29184, Test loss: 0.01390422513484955, Test accuracy: 0.294
[Epoch 5] Time: 908.2714745998383, Train loss: 0.011802291457653045, Train accuracy: 0.41084, Test loss: 0.012454870569705963, Test accuracy: 0.3825
[Epoch 6] Time: 1060.9028451442719, Train loss: 0.010419193027019501, Train accuracy: 0.50098, Test loss: 0.010766872954368591, Test accuracy: 0.4927
[Epoch 7] Time: 1213.724762916565, Train loss: 0.008797900568246841, Train accuracy: 0.59778, Test loss: 0.009147944617271423, Test accuracy: 0.5892
[Epoch 8] Time: 1364.4388756752014, Train loss: 0.007521348471641541, Train accuracy: 0.66468, Test loss: 0.008064645773172379, Test accuracy: 0.6509
[Epoch 9] Time: 1514.4580788612366, Train loss: 0.006552491838932037, Train accuracy: 0.71504, Test loss: 0.007341997241973877, Test accuracy: 0.687
[Epoch 10] Time: 1663.402589082718, Train loss: 0.006178840862512589, Train accuracy: 0.73912, Test loss: 0.006844519257545471, Test accuracy: 0.7239
[Epoch 11] Time: 1814.1088693141937, Train loss: 0.0055953463113307955, Train accuracy: 0.76728, Test loss: 0.006314191722869873, Test accuracy: 0.7356
[Epoch 12] Time: 1965.8731286525726, Train loss: 0.005365897212028504, Train accuracy: 0.77582, Test loss: 0.00583030965924263, Test accuracy: 0.7635
[Epoch 13] Time: 2118.316942691803, Train loss: 0.00528896210372448, Train accuracy: 0.77994, Test loss: 0.00611243833899498, Test accuracy: 0.7505
[Epoch 14] Time: 2268.979924917221, Train loss: 0.005100389329195022, Train accuracy: 0.79136, Test loss: 0.00563469081223011, Test accuracy: 0.7687
[Epoch 15] Time: 2418.4868125915527, Train loss: 0.004874737418293953, Train accuracy: 0.79742, Test loss: 0.005658501517772674, Test accuracy: 0.7669
[Epoch 16] Time: 2569.2651977539062, Train loss: 0.004908762330412864, Train accuracy: 0.7931, Test loss: 0.005715040722489357, Test accuracy: 0.7639
[Epoch 17] Time: 2721.1697931289673, Train loss: 0.00461304803788662, Train accuracy: 0.811, Test loss: 0.005251393163204193, Test accuracy: 0.7878
[Epoch 18] Time: 2872.751518726349, Train loss: 0.004529246915578843, Train accuracy: 0.81456, Test loss: 0.00534229522049427, Test accuracy: 0.784
[Epoch 19] Time: 3024.079323530197, Train loss: 0.004236571547985077, Train accuracy: 0.82464, Test loss: 0.005198862475156784, Test accuracy: 0.7901
[Epoch 20] Time: 3175.248730659485, Train loss: 0.004321225616335869, Train accuracy: 0.82006, Test loss: 0.0050572972565889355, Test accuracy: 0.7977
[Epoch 21] Time: 3325.41565656662, Train loss: 0.0042738879948854445, Train accuracy: 0.8241, Test loss: 0.005110759377479553, Test accuracy: 0.786
[Epoch 22] Time: 3476.7677001953125, Train loss: 0.004185774515867233, Train accuracy: 0.82516, Test loss: 0.0051682374715805056, Test accuracy: 0.7889
[Epoch 23] Time: 3630.1919729709625, Train loss: 0.004169335861206055, Train accuracy: 0.8304, Test loss: 0.005253139007091522, Test accuracy: 0.7897
[Epoch 24] Time: 3783.0325322151184, Train loss: 0.003890603492856026, Train accuracy: 0.84026, Test loss: 0.004825546246767044, Test accuracy: 0.8057
