Namespace(batchSize=128, epoch=25, lr=0.0125, method='momsgd', modelIn='noise0.1_III.pth', modelOut='noise0.1_IV.pth', ngpu=1, noise=0.1)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 45.582337856292725, Train loss: 0.000765360368900001, Train accuracy: 0.96838, Test loss: 0.0028951208785176277, Test accuracy: 0.8913
[Epoch 1] Time: 86.9016044139862, Train loss: 0.000786374588906765, Train accuracy: 0.96648, Test loss: 0.0028450812354683876, Test accuracy: 0.8959
[Epoch 2] Time: 128.56204509735107, Train loss: 0.0007579507435858249, Train accuracy: 0.96984, Test loss: 0.0029260258600115776, Test accuracy: 0.8928
[Epoch 3] Time: 170.34813928604126, Train loss: 0.0007091246846318245, Train accuracy: 0.96942, Test loss: 0.003074772451817989, Test accuracy: 0.8897
[Epoch 4] Time: 212.21422123908997, Train loss: 0.0007561148720234632, Train accuracy: 0.96812, Test loss: 0.003046917004883289, Test accuracy: 0.8874
[Epoch 5] Time: 254.26224398612976, Train loss: 0.0007784299661591649, Train accuracy: 0.96764, Test loss: 0.0031080521583557127, Test accuracy: 0.886
[Epoch 6] Time: 296.3397009372711, Train loss: 0.0007347000977024436, Train accuracy: 0.96936, Test loss: 0.002975143180042505, Test accuracy: 0.8918
[Epoch 7] Time: 338.87828063964844, Train loss: 0.0007491727662459016, Train accuracy: 0.96914, Test loss: 0.002995474098622799, Test accuracy: 0.8889
[Epoch 8] Time: 380.9741814136505, Train loss: 0.0007228436013683677, Train accuracy: 0.97036, Test loss: 0.002991846214234829, Test accuracy: 0.8943
[Epoch 9] Time: 423.2209417819977, Train loss: 0.000817966221794486, Train accuracy: 0.96524, Test loss: 0.003035227519273758, Test accuracy: 0.8869
[Epoch 10] Time: 465.65965270996094, Train loss: 0.0006911537140607834, Train accuracy: 0.969, Test loss: 0.003101338595151901, Test accuracy: 0.8905
[Epoch 11] Time: 507.89689111709595, Train loss: 0.0007715088348463178, Train accuracy: 0.96672, Test loss: 0.002972089272737503, Test accuracy: 0.8962
[Epoch 12] Time: 550.1820321083069, Train loss: 0.0008267034954950213, Train accuracy: 0.96566, Test loss: 0.0032928112834692, Test accuracy: 0.8851
[Epoch 13] Time: 592.6120626926422, Train loss: 0.0008376412997394801, Train accuracy: 0.96598, Test loss: 0.0032651865422725678, Test accuracy: 0.8866
[Epoch 14] Time: 634.816398859024, Train loss: 0.0007942275097593666, Train accuracy: 0.96708, Test loss: 0.0032502302795648576, Test accuracy: 0.8851
[Epoch 15] Time: 677.2865874767303, Train loss: 0.0007772585459053516, Train accuracy: 0.96722, Test loss: 0.003056176570057869, Test accuracy: 0.8898
[Epoch 16] Time: 719.3523783683777, Train loss: 0.0008178156496584416, Train accuracy: 0.96486, Test loss: 0.0030754196658730505, Test accuracy: 0.8862
[Epoch 17] Time: 761.5631875991821, Train loss: 0.0007268759996816516, Train accuracy: 0.97024, Test loss: 0.003059569363296032, Test accuracy: 0.8917
[Epoch 18] Time: 803.875173330307, Train loss: 0.00079576939124614, Train accuracy: 0.96702, Test loss: 0.003336478428542614, Test accuracy: 0.8834
[Epoch 19] Time: 846.031450510025, Train loss: 0.0007585890396684408, Train accuracy: 0.96658, Test loss: 0.0030871410727500914, Test accuracy: 0.891
[Epoch 20] Time: 888.2107801437378, Train loss: 0.000746180576607585, Train accuracy: 0.9677, Test loss: 0.0030294643387198446, Test accuracy: 0.8921
[Epoch 21] Time: 930.436149597168, Train loss: 0.0007694746065884828, Train accuracy: 0.96654, Test loss: 0.0032836435452103614, Test accuracy: 0.885
[Epoch 22] Time: 972.5301313400269, Train loss: 0.0008830620817840099, Train accuracy: 0.96374, Test loss: 0.003349401690065861, Test accuracy: 0.883
[Epoch 23] Time: 1014.6938178539276, Train loss: 0.0007326505479961634, Train accuracy: 0.96872, Test loss: 0.0029112744584679604, Test accuracy: 0.8916
[Epoch 24] Time: 1056.525698184967, Train loss: 0.0008072721530497074, Train accuracy: 0.96744, Test loss: 0.003175299172103405, Test accuracy: 0.8911
