Namespace(batchSize=128, epoch=25, lr=0.00625, method='momsgd', modelIn='noise0.1_IV.pth', modelOut='noise0.1_V.pth', ngpu=1, noise=0.1)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 44.086894035339355, Train loss: 0.00040267138797789813, Train accuracy: 0.98364, Test loss: 0.002757330612838268, Test accuracy: 0.9054
[Epoch 1] Time: 85.2815113067627, Train loss: 0.0003887044027261436, Train accuracy: 0.98514, Test loss: 0.0028867474853992462, Test accuracy: 0.8999
[Epoch 2] Time: 126.81633949279785, Train loss: 0.0004199897982180119, Train accuracy: 0.98214, Test loss: 0.0029979602217674256, Test accuracy: 0.8991
[Epoch 3] Time: 168.4730098247528, Train loss: 0.0004306031071767211, Train accuracy: 0.98348, Test loss: 0.0030498414620757103, Test accuracy: 0.8972
[Epoch 4] Time: 210.2302303314209, Train loss: 0.00039595737863332034, Train accuracy: 0.98334, Test loss: 0.00308282949924469, Test accuracy: 0.9018
[Epoch 5] Time: 252.14450693130493, Train loss: 0.00039231530249118804, Train accuracy: 0.98354, Test loss: 0.0030846052281558512, Test accuracy: 0.9007
[Epoch 6] Time: 294.00376772880554, Train loss: 0.0003577778998017311, Train accuracy: 0.98498, Test loss: 0.0030426418974995612, Test accuracy: 0.9021
[Epoch 7] Time: 336.0999479293823, Train loss: 0.00038550169195979833, Train accuracy: 0.98416, Test loss: 0.0031278619170188905, Test accuracy: 0.8992
[Epoch 8] Time: 378.28028082847595, Train loss: 0.0003828998935967684, Train accuracy: 0.98314, Test loss: 0.003101471199095249, Test accuracy: 0.8993
[Epoch 9] Time: 420.3840765953064, Train loss: 0.0003624201431777328, Train accuracy: 0.9838, Test loss: 0.0031657301381230354, Test accuracy: 0.8936
[Epoch 10] Time: 462.5997576713562, Train loss: 0.0003965593795478344, Train accuracy: 0.98428, Test loss: 0.0031793793708086012, Test accuracy: 0.8998
[Epoch 11] Time: 504.83023738861084, Train loss: 0.00040543229658156633, Train accuracy: 0.98262, Test loss: 0.0031718142196536063, Test accuracy: 0.8991
[Epoch 12] Time: 546.9985899925232, Train loss: 0.0004271439243480563, Train accuracy: 0.98234, Test loss: 0.003152171568572521, Test accuracy: 0.8989
[Epoch 13] Time: 589.3270401954651, Train loss: 0.0003911803613230586, Train accuracy: 0.98346, Test loss: 0.0032383482560515405, Test accuracy: 0.8982
[Epoch 14] Time: 631.506217956543, Train loss: 0.0004009818449430168, Train accuracy: 0.98318, Test loss: 0.0031894260689616202, Test accuracy: 0.8997
[Epoch 15] Time: 673.7571840286255, Train loss: 0.0004141597577556968, Train accuracy: 0.983, Test loss: 0.0032960200384259224, Test accuracy: 0.8947
[Epoch 16] Time: 715.9219312667847, Train loss: 0.000410518363751471, Train accuracy: 0.98338, Test loss: 0.0031903079092502596, Test accuracy: 0.8958
[Epoch 17] Time: 758.1342206001282, Train loss: 0.0004260605176910758, Train accuracy: 0.98234, Test loss: 0.0033138182684779166, Test accuracy: 0.8933
[Epoch 18] Time: 800.387980222702, Train loss: 0.0004139702219888568, Train accuracy: 0.9835, Test loss: 0.0032782608300447463, Test accuracy: 0.8927
[Epoch 19] Time: 842.6642370223999, Train loss: 0.0003949819948896766, Train accuracy: 0.98368, Test loss: 0.003210254617035389, Test accuracy: 0.8986
[Epoch 20] Time: 884.942253112793, Train loss: 0.0004146296553313732, Train accuracy: 0.98306, Test loss: 0.0031934701070189474, Test accuracy: 0.8942
[Epoch 21] Time: 927.0283138751984, Train loss: 0.00042537423793226483, Train accuracy: 0.98098, Test loss: 0.0034140536278486253, Test accuracy: 0.8903
[Epoch 22] Time: 969.3143601417542, Train loss: 0.0004433840383961797, Train accuracy: 0.98282, Test loss: 0.003201907514035702, Test accuracy: 0.895
[Epoch 23] Time: 1011.2986423969269, Train loss: 0.0004361332184076309, Train accuracy: 0.98162, Test loss: 0.003235696989297867, Test accuracy: 0.8951
[Epoch 24] Time: 1053.2720458507538, Train loss: 0.00047835079088807107, Train accuracy: 0.97992, Test loss: 0.0034747053027153014, Test accuracy: 0.8901
