Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg19/noise_0.pth', ngpu=1, noise=0.0)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 138.73130559921265, Train loss: 0.0157681471824646, Train accuracy: 0.20068, Test loss: 0.015857391548156737, Test accuracy: 0.2015
[Epoch 1] Time: 286.49346256256104, Train loss: 0.01421640671491623, Train accuracy: 0.2895, Test loss: 0.014411181926727294, Test accuracy: 0.2887
[Epoch 2] Time: 435.55188179016113, Train loss: 0.012779240832328797, Train accuracy: 0.37238, Test loss: 0.01301685836315155, Test accuracy: 0.381
[Epoch 3] Time: 583.752560377121, Train loss: 0.010375330493450165, Train accuracy: 0.51678, Test loss: 0.010717354023456574, Test accuracy: 0.5073
[Epoch 4] Time: 732.1165943145752, Train loss: 0.009008390669822694, Train accuracy: 0.59748, Test loss: 0.00975914359688759, Test accuracy: 0.5708
[Epoch 5] Time: 880.6974773406982, Train loss: 0.007645016078948974, Train accuracy: 0.66456, Test loss: 0.008289410918951034, Test accuracy: 0.6421
[Epoch 6] Time: 1029.570743560791, Train loss: 0.006823139107227326, Train accuracy: 0.70472, Test loss: 0.007475312751531601, Test accuracy: 0.6848
[Epoch 7] Time: 1179.1549232006073, Train loss: 0.0062447348672151565, Train accuracy: 0.73452, Test loss: 0.007043976134061813, Test accuracy: 0.7101
[Epoch 8] Time: 1327.229362487793, Train loss: 0.005714064549207688, Train accuracy: 0.75994, Test loss: 0.006409214580059052, Test accuracy: 0.7391
[Epoch 9] Time: 1473.4655623435974, Train loss: 0.005521050594449043, Train accuracy: 0.76704, Test loss: 0.006138241863250732, Test accuracy: 0.7409
[Epoch 10] Time: 1618.4720821380615, Train loss: 0.004988509466052055, Train accuracy: 0.79032, Test loss: 0.005451411437988281, Test accuracy: 0.7778
[Epoch 11] Time: 1762.09991812706, Train loss: 0.004786437303423882, Train accuracy: 0.7991, Test loss: 0.005215443557500839, Test accuracy: 0.7786
[Epoch 12] Time: 1907.6389615535736, Train loss: 0.004839029297828674, Train accuracy: 0.79656, Test loss: 0.005296874707937241, Test accuracy: 0.7847
[Epoch 13] Time: 2054.483874797821, Train loss: 0.004635285278558731, Train accuracy: 0.80644, Test loss: 0.005371178722381592, Test accuracy: 0.7749
[Epoch 14] Time: 2203.721934556961, Train loss: 0.004394763861894607, Train accuracy: 0.81934, Test loss: 0.005105654865503311, Test accuracy: 0.7917
[Epoch 15] Time: 2351.795630455017, Train loss: 0.004485630666613579, Train accuracy: 0.80976, Test loss: 0.005313199827075004, Test accuracy: 0.7811
[Epoch 16] Time: 2499.9547924995422, Train loss: 0.004243048125505447, Train accuracy: 0.82544, Test loss: 0.004971672570705414, Test accuracy: 0.7969
[Epoch 17] Time: 2648.7488689422607, Train loss: 0.00422513997554779, Train accuracy: 0.8238, Test loss: 0.00514604150056839, Test accuracy: 0.7869
[Epoch 18] Time: 2798.269954442978, Train loss: 0.003967516709566117, Train accuracy: 0.83672, Test loss: 0.004630237653851509, Test accuracy: 0.8113
[Epoch 19] Time: 2947.570412158966, Train loss: 0.003885311914086342, Train accuracy: 0.83792, Test loss: 0.004482832717895508, Test accuracy: 0.8118
[Epoch 20] Time: 3095.300938129425, Train loss: 0.0039318010550737385, Train accuracy: 0.83532, Test loss: 0.004624890559911728, Test accuracy: 0.8107
[Epoch 21] Time: 3241.9304554462433, Train loss: 0.004137303141355514, Train accuracy: 0.82698, Test loss: 0.0050386269181966785, Test accuracy: 0.7945
[Epoch 22] Time: 3387.3292334079742, Train loss: 0.004021315130591393, Train accuracy: 0.83294, Test loss: 0.004740361481904983, Test accuracy: 0.8153
[Epoch 23] Time: 3532.3288397789, Train loss: 0.003634908143877983, Train accuracy: 0.84814, Test loss: 0.0044484299778938296, Test accuracy: 0.8185
[Epoch 24] Time: 3678.5559163093567, Train loss: 0.00352510128647089, Train accuracy: 0.85438, Test loss: 0.0042918846905231475, Test accuracy: 0.8249
[Epoch 25] Time: 3826.703898191452, Train loss: 0.004024882385730744, Train accuracy: 0.8329, Test loss: 0.004872771045565605, Test accuracy: 0.7999
[Epoch 26] Time: 3975.929678440094, Train loss: 0.0037867611795663835, Train accuracy: 0.84014, Test loss: 0.004481434667110443, Test accuracy: 0.8143
