Namespace(batchSize=128, epoch=25, lr=0.025, method='momsgd', modelIn='noise0_II.pth', modelOut='noise0_III.pth', ngpu=1, noise=0.0)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 40.76567578315735, Train loss: 0.0013237663562595844, Train accuracy: 0.94458, Test loss: 0.0028653844475746153, Test accuracy: 0.8837
[Epoch 1] Time: 80.0840277671814, Train loss: 0.0012432974142581224, Train accuracy: 0.94742, Test loss: 0.0028861433610320093, Test accuracy: 0.8914
[Epoch 2] Time: 119.40700268745422, Train loss: 0.0012106646819412708, Train accuracy: 0.94852, Test loss: 0.003001233798265457, Test accuracy: 0.8789
[Epoch 3] Time: 158.71667313575745, Train loss: 0.001161643176227808, Train accuracy: 0.95004, Test loss: 0.0030666968286037445, Test accuracy: 0.881
[Epoch 4] Time: 198.03254985809326, Train loss: 0.001255362203195691, Train accuracy: 0.94926, Test loss: 0.0029792411968111994, Test accuracy: 0.8854
[Epoch 5] Time: 237.34163355827332, Train loss: 0.0014155159994959832, Train accuracy: 0.93892, Test loss: 0.0030984853133559226, Test accuracy: 0.8764
[Epoch 6] Time: 276.64470982551575, Train loss: 0.001267376074269414, Train accuracy: 0.94632, Test loss: 0.0030420878693461417, Test accuracy: 0.8826
[Epoch 7] Time: 315.9087543487549, Train loss: 0.0013143443354964256, Train accuracy: 0.94388, Test loss: 0.0031360334247350695, Test accuracy: 0.8778
[Epoch 8] Time: 355.22222352027893, Train loss: 0.001349158656001091, Train accuracy: 0.94228, Test loss: 0.00311373827457428, Test accuracy: 0.8751
[Epoch 9] Time: 394.54290652275085, Train loss: 0.0013338512086123228, Train accuracy: 0.94412, Test loss: 0.0029578960940241815, Test accuracy: 0.8832
[Epoch 10] Time: 433.86467838287354, Train loss: 0.001417546466588974, Train accuracy: 0.9385, Test loss: 0.0032026625260710715, Test accuracy: 0.8755
[Epoch 11] Time: 473.1850004196167, Train loss: 0.0015869071675837039, Train accuracy: 0.93196, Test loss: 0.0032225393414497374, Test accuracy: 0.8774
[Epoch 12] Time: 512.5204689502716, Train loss: 0.001325019424930215, Train accuracy: 0.94418, Test loss: 0.0031287791401147843, Test accuracy: 0.8801
[Epoch 13] Time: 551.8293845653534, Train loss: 0.0012407375209033489, Train accuracy: 0.94532, Test loss: 0.002937624004483223, Test accuracy: 0.8827
[Epoch 14] Time: 591.1356613636017, Train loss: 0.001341178503409028, Train accuracy: 0.94136, Test loss: 0.0032868310853838923, Test accuracy: 0.876
[Epoch 15] Time: 630.4493925571442, Train loss: 0.0013780261089652776, Train accuracy: 0.9424, Test loss: 0.0029547694325447083, Test accuracy: 0.8831
[Epoch 16] Time: 669.7395360469818, Train loss: 0.0013907540892064572, Train accuracy: 0.94096, Test loss: 0.0032278897657990455, Test accuracy: 0.8771
[Epoch 17] Time: 709.0654082298279, Train loss: 0.0014842305348068475, Train accuracy: 0.93742, Test loss: 0.0031501512318849565, Test accuracy: 0.8767
[Epoch 18] Time: 748.3842282295227, Train loss: 0.0012901395072042942, Train accuracy: 0.94678, Test loss: 0.0029644935712218284, Test accuracy: 0.8817
[Epoch 19] Time: 787.6902709007263, Train loss: 0.001285675841793418, Train accuracy: 0.94782, Test loss: 0.002915906324982643, Test accuracy: 0.8874
[Epoch 20] Time: 827.0053927898407, Train loss: 0.001264437274709344, Train accuracy: 0.9456, Test loss: 0.0031159760221838952, Test accuracy: 0.8816
[Epoch 21] Time: 866.3281297683716, Train loss: 0.0013389821385592223, Train accuracy: 0.94322, Test loss: 0.0032480404123663904, Test accuracy: 0.8767
[Epoch 22] Time: 905.6394534111023, Train loss: 0.0013920489406585694, Train accuracy: 0.94212, Test loss: 0.003222897669672966, Test accuracy: 0.8747
[Epoch 23] Time: 944.9726512432098, Train loss: 0.0013284455811232328, Train accuracy: 0.9434, Test loss: 0.003346303240954876, Test accuracy: 0.8723
[Epoch 24] Time: 984.278489112854, Train loss: 0.0012867404285818338, Train accuracy: 0.94296, Test loss: 0.003074497899413109, Test accuracy: 0.8829
